Date,year,Address,City,Alarm,Arrival,RT original,Responsetime,address_geo,lat,long
2011-03-28,2011,860 Linnview Drive,Marion,21:13:19,21:17:03,00:03:44,3.44,"860 Linnview Drive, Marion, Iowa",42.035935,-91.62482
2011-08-28,2011,2635 1st Avenue,Marion,17:58:08,18:01:52,00:03:44,3.44,"2635 1st Avenue, Marion, Iowa",42.027662,-91.584028
2011-11-18,2011,740 Alpine Road,Marion,15:01:17,15:05:04,00:03:47,3.47,"740 Alpine Road, Marion, Iowa",42.0381969,-91.618788
2010-09-18,2010,225 Normandy Dr,Marion,13:41:39,13:45:28,00:03:49,3.49,"225 Normandy Dr, Marion, Iowa",42.0335529,-91.5678674
2010-05-21,2010,1095 6th Avenue,Marion,02:29:00,02:32:51,00:03:51,3.51,"1095 6th Avenue, Marion, Iowa",42.0319963,-91.5986798
2013-01-08,2013,750 Marion Boulevard,Marion,10:13:49,10:17:43,00:03:54,3.54,"750 Marion Boulevard, Marion, Iowa",42.0274296,-91.6190795
2010-02-12,2010,1210 Blairs Ferry Road,Marion,15:59:00,16:02:56,00:03:56,3.56,"1210 Blairs Ferry Road, Marion, Iowa",42.0329229,-91.624533
2013-01-25,2013,2900 Indian Creek Road,Marion,17:56:37,18:00:33,00:03:56,3.56,"2900 Indian Creek Road, Marion, Iowa",42.0507464,-91.5916952
2014-02-24,2014,1366 7th Street,Marion,15:04:12,15:08:09,00:03:57,3.57,"1366 7th Street, Marion, Iowa",42.038951,-91.603025
2013-05-21,2013,129 Southview Drive,Marion,22:27:32,22:31:30,00:03:58,3.58,"129 Southview Drive, Marion, Iowa",42.0288533,-91.6213773
2014-11-09,2014,101 S. 11th Street,Marion,12:25:07,12:29:05,00:03:58,3.58,"101 S. 11th Street, Marion, Iowa",42.027689,-91.597648
2013-10-18,2013,900 26th Street,Marion,05:34:31,05:38:31,00:04:00,4,"900 26th Street, Marion, Iowa",42.034966,-91.585014
2011-09-06,2011,590 Bentley Drive,Marion,19:37:49,19:41:50,00:04:01,4.01,"590 Bentley Drive, Marion, Iowa",42.0461231,-91.6017496
2013-08-05,2013,820 27th Street,Marion,07:18:34,07:22:35,00:04:01,4.01,"820 27th Street, Marion, Iowa",42.034354,-91.583899
2010-12-09,2010,1080 Lyons Lane,Marion,14:10:16,14:14:17,00:04:01,4.01,"1080 Lyons Lane, Marion, Iowa",42.032797,-91.613625
2011-03-07,2011,115 Southview Drive,Marion,21:10:39,21:14:41,00:04:02,4.02,"115 Southview Drive, Marion, Iowa",42.0279699,-91.6213804
2010-09-15,2010,1301 5th Avenue,Marion,09:11:38,09:15:41,00:04:03,4.03,"1301 5th Avenue, Marion, Iowa",42.031811,-91.595037
2013-11-14,2013,1120 W. 8th Avenue,Marion,14:35:12,14:39:16,00:04:04,4.04,"1120 W. 8th Avenue, Marion, Iowa",42.0355,-91.623583
2014-03-03,2014,365 Marion Blvd.,Marion,22:35:29,22:39:33,00:04:04,4.04,"365 Marion Blvd., Marion, Iowa",42.0290234,-91.6140983
2011-12-23,2011,1030 Twixt Town Road,Marion,14:46:31,14:50:35,00:04:04,4.04,"1030 Twixt Town Road, Marion, Iowa",42.0279081,-91.6208584
2013-10-02,2013,102 3rd Avenue,Marion,13:02:08,13:06:13,00:04:05,4.05,"102 3rd Avenue, Marion, Iowa",42.030064,-91.610077
2013-02-22,2013,3909 29th Avenue,Marion,19:22:25,19:26:30,00:04:05,4.05,"3909 29th Avenue, Marion, Iowa",42.049661,-91.569518
2010-10-06,2010,655 49th Street,Marion,15:38:04,15:42:10,00:04:06,4.06,"655 49th Street, Marion, Iowa",42.031268,-91.557439
2010-03-30,2010,4640 Vasey Avenue,Marion,01:33:08,01:37:18,00:04:10,4.1,"4640 Vasey Avenue, Marion, Iowa",42.04085,-91.560354
2011-08-04,2011,2430 17th Avenue,Marion,10:30:47,10:34:59,00:04:12,4.12,"2430 17th Avenue, Marion, Iowa",42.041544,-91.586651
2013-10-18,2013,3470 Crown Avenue,Marion,19:47:47,19:52:01,00:04:14,4.14,"3470 Crown Avenue, Marion, Iowa",42.045859,-91.575115
2013-11-28,2013,1403 14th Street,Marion,13:48:09,13:52:24,00:04:15,4.15,"1403 14th Street, Marion, Iowa",42.039733,-91.5945
2011-04-12,2011,2900 Indian Creek Road,Marion,17:02:10,17:06:28,00:04:18,4.18,"2900 Indian Creek Road, Marion, Iowa",42.0507464,-91.5916952
2014-12-11,2014,439 Lindale Drive,Marion,17:20:07,17:24:26,00:04:19,4.19,"439 Lindale Drive, Marion, Iowa",42.030768,-91.623526
2014-01-05,2014,480 Ida Drive,Marion,04:42:43,04:47:04,00:04:21,4.21,"480 Ida Drive, Marion, Iowa",42.0355737,-91.5646958
2010-12-21,2010,130 29th Street Court,Marion,20:34:14,20:38:36,00:04:22,4.22,"130 29th Street Court, Marion, Iowa",42.028215,-91.581491
2013-07-09,2013,1690 Park Avenue,Marion,08:49:07,08:53:30,00:04:23,4.23,"1690 Park Avenue, Marion, Iowa",42.038903,-91.592383
2014-11-13,2014,170 Southview Drive,Marion,09:37:23,09:41:48,00:04:25,4.25,"170 Southview Drive, Marion, Iowa",42.02877,-91.621754
2014-02-26,2014,3111 10th Street,Marion,07:28:47,07:33:14,00:04:27,4.27,"3111 10th Street, Marion, Iowa",42.0531719,-91.5988513
2011-10-06,2011,13 Chapel Ridge Circle,Marion,18:15:58,18:20:27,00:04:29,4.29,"13 Chapel Ridge Circle, Marion, Iowa",42.030533,-91.622012
2014-07-12,2014,343 Pheasant Avenue,Marion,14:34:01,14:38:31,00:04:30,4.3,"343 Pheasant Avenue, Marion, Iowa",42.0485479,-91.613606
2011-11-22,2011,180 21st Street,Marion,19:55:18,19:59:48,00:04:30,4.3,"180 21st Street, Marion, Iowa",42.028767,-91.590383
2014-07-12,2014,343 Pheasant Avenue,Marion,12:30:09,12:34:39,00:04:30,4.3,"343 Pheasant Avenue, Marion, Iowa",42.0485479,-91.613606
2011-07-12,2011,1590 Brockman Avenue,Marion,13:09:10,13:13:41,00:04:31,4.31,"1590 Brockman Avenue, Marion, Iowa",42.042428,-91.59308
2010-10-29,2010,1135 Valley Park Street,Marion,07:52:09,07:56:40,00:04:31,4.31,"1135 Valley Park Street, Marion, Iowa",42.019537,-91.600778
2011-02-09,2011,790 22nd Street,Marion,08:17:46,08:22:17,00:04:31,4.31,"790 22nd Street, Marion, Iowa",42.0341017,-91.5889828
2010-11-29,2010,1483 Grand Avenue,Marion,18:15:07,18:19:39,00:04:32,4.32,"1483 Grand Avenue, Marion, Iowa",42.0205649,-91.5967558
2013-02-25,2013,6 Chapel Ridge Circle,Marion,16:48:03,16:52:35,00:04:32,4.32,"6 Chapel Ridge Circle, Marion, Iowa",42.030533,-91.622012
2014-12-31,2014,1210 Blairs Ferry Road,Marion,19:48:20,19:52:54,00:04:34,4.34,"1210 Blairs Ferry Road, Marion, Iowa",42.0329229,-91.624533
2014-05-15,2014,125 Southview Drive,Marion,01:26:25,01:31:03,00:04:38,4.38,"125 Southview Drive, Marion, Iowa",42.028829,-91.62106
2013-02-10,2013,675 S. 15th Street,Marion,19:27:04,19:31:43,00:04:39,4.39,"675 S. 15th Street, Marion, Iowa",42.024067,-91.59155
2013-05-15,2013,490 20 Street,Marion,20:40:00,20:44:42,00:04:42,4.42,"490 20 Street, Marion, Iowa",42.031336,-91.590765
2014-03-14,2014,925 Westview Drive,Marion,20:54:25,20:59:07,00:04:42,4.42,"925 Westview Drive, Marion, Iowa",42.022615,-91.600269
2010-11-04,2010,2430 17th Avenue,Marion,22:17:44,22:22:29,00:04:45,4.45,"2430 17th Avenue, Marion, Iowa",42.041544,-91.586651
2010-08-18,2010,1030 Indian Creek Circle,Marion,17:16:38,17:21:23,00:04:45,4.45,"1030 Indian Creek Circle, Marion, Iowa",42.049949,-91.598157
2011-08-24,2011,2560 Westminster Place,Marion,19:31:33,19:36:19,00:04:46,4.46,"2560 Westminster Place, Marion, Iowa",42.048,-91.617631
2010-07-24,2010,1680 9th Street,Marion,03:57:12,04:01:59,00:04:47,4.47,"1680 9th Street, Marion, Iowa",42.041646,-91.600815
2011-02-12,2011,5491 Highway 151,Marion,12:07:46,12:12:34,00:04:48,4.48,"5491 Highway 151, Marion, Iowa",42.0333902,-91.5532783
2014-01-16,2014,3051 28th Avenue,Marion,11:49:21,11:54:10,00:04:49,4.49,"3051 28th Avenue, Marion, Iowa",42.049435,-91.579986
2010-06-07,2010,483 Ida Drive,Marion,15:13:17,15:18:11,00:04:54,4.54,"483 Ida Drive, Marion, Iowa",42.0355459,-91.564671
2013-06-28,2013,3025 8th Street,Marion,23:57:00,00:01:54,00:04:54,4.54,"3025 8th Street, Marion, Iowa",42.052276,-91.601056
2011-08-30,2011,515 Bentley Drive,Marion,21:19:22,21:24:17,00:04:55,4.55,"515 Bentley Drive, Marion, Iowa",42.0461231,-91.6017496
2014-10-29,2014,4200 Munier Road,Marion,18:10:30,18:15:30,00:05:00,5,"4200 Munier Road, Marion, Iowa",42.022293,-91.565674
2010-05-26,2010,760 Grand Avenue,Marion,17:32:00,17:37:01,00:05:01,5.01,"760 Grand Avenue, Marion, Iowa",42.020804,-91.601983
2010-11-11,2010,1121 Plumwood Court,Marion,12:20:34,12:25:35,00:05:01,5.01,"1121 Plumwood Court, Marion, Iowa",42.045111,-91.62317
2014-03-29,2014,2650 Spoonbill Drive,Marion,03:54:31,03:59:34,00:05:03,5.03,"2650 Spoonbill Drive, Marion, Iowa",42.048291,-91.564302
2013-06-30,2013,2990 24th Avenue,Marion,18:09:12,18:14:19,00:05:07,5.07,"2990 24th Avenue, Marion, Iowa",42.046725,-91.5804069
2013-06-26,2013,675 S. 15th Street,Marion,11:54:50,11:59:58,00:05:08,5.08,"675 S. 15th Street, Marion, Iowa",42.024067,-91.59155
2014-03-27,2014,895 S. 11th Street,Marion,12:35:40,12:40:50,00:05:10,5.1,"895 S. 11th Street, Marion, Iowa",42.02175,-91.597712
2013-03-12,2013,3060 16th Avenue,Marion,20:55:28,21:00:38,00:05:10,5.1,"3060 16th Avenue, Marion, Iowa",42.041064,-91.579656
2014-04-11,2014,520 17th Street,Marion,15:34:13,15:39:24,00:05:11,5.11,"520 17th Street, Marion, Iowa",42.031756,-91.592443
2010-01-27,2010,396 18th Street,Marion,06:25:42,06:30:53,00:05:11,5.11,"396 18th Street, Marion, Iowa",42.030847,-91.591913
2013-02-07,2013,3230 9th Street,Marion,22:03:48,22:08:59,00:05:11,5.11,"3230 9th Street, Marion, Iowa",42.053422,-91.6006419
2014-12-24,2014,2080 26th Street,Marion,23:07:29,23:12:41,00:05:12,5.12,"2080 26th Street, Marion, Iowa",42.043952,-91.585023
2013-08-10,2013,1731 Cherokee Drive,Marion,14:23:14,14:28:28,00:05:14,5.14,"1731 Cherokee Drive, Marion, Iowa",42.041276,-91.5456391
2011-05-10,2011,670 34th Avenue,Marion,19:50:57,19:56:11,00:05:14,5.14,"670 34th Avenue, Marion, Iowa",42.055206,-91.602752
2011-01-17,2011,901 S. 11th Street,Marion,20:32:39,20:37:55,00:05:16,5.16,"901 S. 11th Street, Marion, Iowa",42.021476,-91.597421
2011-05-30,2011,2385 Stratford Drive,Marion,05:44:44,05:50:03,00:05:19,5.19,"2385 Stratford Drive, Marion, Iowa",42.046154,-91.571831
2011-08-23,2011,2910 Newcastle Road,Marion,07:21:36,07:26:56,00:05:20,5.2,"2910 Newcastle Road, Marion, Iowa",42.050743,-91.622888
2013-08-17,2013,1985 Blackhawk Drive,Marion,15:09:07,15:14:27,00:05:20,5.2,"1985 Blackhawk Drive, Marion, Iowa",42.0424233,-91.5465507
2010-01-13,2010,3040 8th Street,Marion,04:23:14,04:28:35,00:05:21,5.21,"3040 8th Street, Marion, Iowa",42.0522874,-91.6013887
2011-08-03,2011,1485 Grand Avenue,Marion,01:46:24,01:51:51,00:05:27,5.27,"1485 Grand Avenue, Marion, Iowa",42.0197428,-91.5942852
2014-11-26,2014,2980 East Post Road,Marion,19:45:59,19:51:29,00:05:30,5.3,"2980 East Post Road, Marion, Iowa",42.0064978,-91.5992033
2011-09-27,2011,365 Irish Drive,Marion,08:40:30,08:46:02,00:05:32,5.32,"365 Irish Drive, Marion, Iowa",42.056833,-91.611635
2014-07-05,2014,1525 Hillcrest Court,Marion,22:14:22,22:19:54,00:05:32,5.32,"1525 Hillcrest Court, Marion, Iowa",42.0160989,-91.592812
2013-06-09,2013,1510 9th Avenue,Marion,10:01:59,10:07:34,00:05:35,5.35,"1510 9th Avenue, Marion, Iowa",42.035206,-91.59371
2010-06-05,2010,210 13th Street,Marion,13:25:12,13:30:56,00:05:44,5.44,"210 13th Street, Marion, Iowa",42.029196,-91.596103
2013-08-04,2013,2860 23rd Avenue,Marion,10:09:11,10:14:55,00:05:44,5.44,"2860 23rd Avenue, Marion, Iowa",42.045924,-91.581832
2013-06-21,2013,880 14th Street,Marion,10:25:14,10:31:00,00:05:46,5.46,"880 14th Street, Marion, Iowa",42.034699,-91.594941
2013-06-24,2013,2440 Eastlawn Drive,Marion,17:57:29,18:03:18,00:05:49,5.49,"2440 Eastlawn Drive, Marion, Iowa",42.024937,-91.58613
2011-09-07,2011,2751 Regal Court,Marion,15:58:22,16:04:13,00:05:51,5.51,"2751 Regal Court, Marion, Iowa",42.017041,-91.582658
2013-05-10,2013,775 Fairview Drive,Marion,22:11:21,22:17:13,00:05:52,5.52,"775 Fairview Drive, Marion, Iowa",42.0243687,-91.6016047
2013-04-20,2013,2635 6th Street,Marion,03:55:34,04:01:28,00:05:54,5.54,"2635 6th Street, Marion, Iowa",42.048949,-91.603591
2014-05-11,2014,1160 S. 12th Street,Marion,15:27:46,15:33:45,00:05:59,5.59,"1160 S. 12th Street, Marion, Iowa",42.0182239,-91.597222
2010-09-20,2010,690 Bentley Dr,Marion,17:38:30,17:44:31,00:06:01,6.01,"690 Bentley Dr, Marion, Iowa",42.0462442,-91.6017473
2014-01-18,2014,1235 Lincoln Drive,Marion,21:21:36,21:27:38,00:06:02,6.02,"1235 Lincoln Drive, Marion, Iowa",42.0379409,-91.593131
2014-08-05,2014,345 W. 33rd Avenue,Marion,17:11:17,17:17:20,00:06:03,6.03,"345 W. 33rd Avenue, Marion, Iowa",42.05398,-91.611326
2011-07-07,2011,2195 Catherine Court,Marion,21:17:37,21:23:44,00:06:07,6.07,"2195 Catherine Court, Marion, Iowa",42.018506,-91.589159
2010-11-30,2010,1483 Grand Avenue,Marion,02:36:04,02:42:14,00:06:10,6.1,"1483 Grand Avenue, Marion, Iowa",42.0205649,-91.5967558
2013-05-08,2013,3175 8th Street,Marion,15:24:45,15:30:56,00:06:11,6.11,"3175 8th Street, Marion, Iowa",42.053177,-91.601049
2010-09-17,2010,2100 Highway 13,Marion,12:53:32,12:59:44,00:06:12,6.12,"2100 Highway 13, Marion, Iowa",42.0126964,-91.550288
2010-11-27,2010,1682 Highway 151,Marion,17:33:00,17:39:13,00:06:13,6.13,"1682 Highway 151, Marion, Iowa",42.0379827,-91.528734
2010-09-30,2010,200 Ridge Drive,Marion,20:08:32,20:14:47,00:06:15,6.15,"200 Ridge Drive, Marion, Iowa",42.0292799,-91.6220356
2010-07-23,2010,3108 Carlisle Circle,Marion,12:47:32,12:53:48,00:06:16,6.16,"3108 Carlisle Circle, Marion, Iowa",42.0545149,-91.5780429
2011-07-06,2011,1300 Highway 151,Marion,14:07:10,14:13:26,00:06:16,6.16,"1300 Highway 151, Marion, Iowa",42.0472109,-91.4912394
2010-04-18,2010,400 Lindale Drive,Marion,01:14:31,01:20:51,00:06:20,6.2,"400 Lindale Drive, Marion, Iowa",42.030873,-91.626817
2013-01-16,2013,1710 Marion Airport Road,Marion,13:21:00,13:27:44,00:06:44,6.44,"1710 Marion Airport Road, Marion, Iowa",42.0354049,-91.5268681
2013-04-07,2013,4047 Bruce Road,Marion,14:57:00,15:03:44,00:06:44,6.44,"4047 Bruce Road, Marion, Iowa",42.062233,-91.600988
2010-10-16,2010,4500 Tower Terrace Road,Marion,13:29:36,13:36:32,00:06:56,6.56,"4500 Tower Terrace Road, Marion, Iowa",42.0594695,-91.5796012
2011-08-08,2011,2167 Dawn Drive,Marion,21:14:00,21:20:56,00:06:56,6.56,"2167 Dawn Drive, Marion, Iowa",42.068038,-91.619674
2011-10-04,2011,1351 Airport Road,Marion,16:05:30,16:13:03,00:07:33,7.33,"1351 Airport Road, Marion, Iowa",41.2864563,-91.6687694
2010-05-02,2010,2149 Echo Hill Road,Marion,23:47:23,23:55:19,00:07:56,7.56,"2149 Echo Hill Road, Marion, Iowa",42.075953,-91.616967
2011-12-28,2011,1006 Orrian Drive,Marion,00:59:08,01:07:05,00:07:57,7.57,"1006 Orrian Drive, Marion, Iowa",42.00867,-91.6057189
2014-06-15,2014,5650 Lucore Road,Marion,03:33:26,03:41:55,00:08:29,8.29,"5650 Lucore Road, Marion, Iowa",42.077193,-91.579665
2010-01-20,2010,3261 N. Alburnett Road,Marion,13:14:30,13:23:00,00:08:30,8.3,"3261 N. Alburnett Road, Marion, Iowa",42.0990116,-91.6188369
2010-06-26,2010,1535 Radio Road,Marion,04:51:00,04:59:33,00:08:33,8.33,"1535 Radio Road, Marion, Iowa",42.058783,-91.51345
2011-04-10,2011,County Home & Hindman Rds,Marion,20:09:30,20:18:15,00:08:45,8.45,"County Home & Hindman Rds, Marion, Iowa",42.093397,-91.5206365
2014-11-01,2014,2085 County Home Road,Marion,21:04:15,21:13:08,00:08:53,8.53,"2085 County Home Road, Marion, Iowa",42.094278,-91.567912
2011-01-04,2011,2700 Indian Hill Road,Marion,14:14:00,14:22:53,00:08:53,8.53,"2700 Indian Hill Road, Marion, Iowa",42.0036043,-91.6129802
2013-03-04,2013,1860 County Home Road,Marion,09:30:00,09:38:58,00:08:58,8.58,"1860 County Home Road, Marion, Iowa",42.0938155,-91.5474102
2011-07-11,2011,3400 Barrett Road,Marion,05:13:00,05:22:00,00:09:00,9,"3400 Barrett Road, Marion, Iowa",42.1083458,-91.5306551
2010-04-20,2010,2417 Cimmarron Road,Marion,20:34:00,20:43:06,00:09:06,9.06,"2417 Cimmarron Road, Marion, Iowa",42.073182,-91.601131
2010-04-28,2010,3545 Coffey Lane,Marion,17:37:00,17:46:10,00:09:10,9.1,"3545 Coffey Lane, Marion, Iowa",42.117331,-91.55748
2014-05-14,2014,775 Fairview Drive,Marion,23:58:38,00:07:24,00:09:16,9.16,"775 Fairview Drive, Marion, Iowa",42.0243687,-91.6016047
2014-11-01,2014,2080 County Home Road,Marion,13:53:33,14:02:50,00:09:17,9.17,"2080 County Home Road, Marion, Iowa",42.092911,-91.568035
2014-02-13,2014,Highway 13 & Bertram Road,Marion,03:17:30,03:26:52,00:09:22,9.22,"Highway 13 & Bertram Road, Marion, Iowa",42.033279,-91.5968958
2011-11-30,2011,1600 Secrist Road,Marion,13:45:00,13:54:25,00:09:25,9.25,"1600 Secrist Road, Marion, Iowa",42.0196034,-91.5206676
2010-11-24,2010,6707 Winslow Road,Marion,02:35:35,02:45:02,00:09:27,9.27,"6707 Winslow Road, Marion, Iowa",42.085768,-91.5868069
2011-10-10,2011,4500 N. 10th Street,Marion,17:15:57,17:25:26,00:09:29,9.29,"4500 N. 10th Street, Marion, Iowa",42.0669603,-91.6031743
2010-04-01,2010,3306 N. Marion Road,Marion,17:49:00,17:58:38,00:09:38,9.38,"3306 N. Marion Road, Marion, Iowa",42.103793,-91.6019
