Service Name,time_diff_edit,Incident Date,Year,Full Address,Fire Incident Type,lat,long
Blairstown Fire Department,5,8/18/13,2013,and The Apartment above the Bent Bucket corner bar.,Building fire,41.9086563,-92.0845119
Blairstown Fire Department,15,10/19/13,2013,7833 19th AVE,Building fire,41.883786,-92.126946
Blairstown Fire Department,7,11/14/13,2013,207 NE Prospect,Building fire,41.907825,-92.0817919
Blairstown Fire Department,15,4/9/14,2014,1695 78th ST,Building fire,41.891555,-92.1632565
Blairstown Fire Department,11,11/1/14,2014,1671 77 ST,"Trash or rubbish fire, contained",41.9060702,-92.1614626
Garrison Fire Department,10,4/6/10,2010,2011 60 ST. Dr.,Building fire,42.1484918,-92.1068305
Garrison Fire Department,12,11/25/10,2010,64 ST,Building fire,42.0941089,-92.1439282
Garrison Fire Department,1,4/2/11,2011,5978 17th Avenue,Building fire,42.1551454,-92.1627819
Garrison Fire Department,2,6/30/11,2011,404 W Maple Street,Building fire,42.1451574,-92.1473877
Garrison Fire Department,5,6/30/11,2011,206 Beach Avenue,Building fire,42.1441612,-92.1437942
Garrison Fire Department,10,7/12/11,2011,301 Cedar Street,Building fire,42.1412812,-92.1411665
Garrison Fire Department,5,5/25/12,2012,302 E Oak ST,Building fire,42.1432075,-92.1413048
Garrison Fire Department,5,8/3/12,2012,1671 58th ST,Building fire,42.1810064,-92.1674606
Garrison Fire Department,4,2/28/13,2013,307 Pine ST,Building fire,42.1422282,-92.1412689
Garrison Fire Department,7,5/6/14,2014,203 Oak St.,Building fire,42.143192,-92.142513
Garrison Fire Department,13,6/27/14,2014,1547 61st ST,Building fire,42.1377107,-92.1927184
Keystone Fire Department,12,10/5/12,2012,6682 16th Ave.,Building fire,42.053905,-92.182056
Keystone Fire Department,14,10/29/14,2014,1265 65th street,Building fire,42.0799812,-92.2330788
Keystone Fire Department,8,11/2/14,2014,1521 68th street,Building fire,42.037283,-92.1975159
Keystone Fire Department,13,11/30/14,2014,1521 68th street,Building fire,42.037283,-92.1975159
Newhall Fire Department,9,12/13/10,2010,6767 27th Ave,Building fire,42.041587,-91.975781
Newhall Fire Department,16,7/27/11,2011,7281 26th Ave,Building fire,41.966223,-91.989399
Newhall Fire Department,7,11/17/11,2011,Ave and St,Building fire,41.9955551,-91.9676815
Newhall Fire Department,9,10/12/12,2012,2581 71st ST,Building fire,41.9925779,-91.9933408
Newhall Fire Department,13,5/8/13,2013,7372 26th ave,Building fire,41.953195,-91.987719
Newhall Fire Department,10,10/20/14,2014,6624 27th AVE,"Fuel burner/boiler malfunction, fire confined",42.0501581,-91.9709312
Norway Fire & Rescue,8,6/30/10,2010,3190 77TH STREET TRL,Building fire,41.900519,-91.872944
Norway Fire & Rescue,1,10/17/11,2011,105 Railroad ST,Building fire,41.9024777,-91.9215452
Norway Fire & Rescue,9,1/8/12,2012,2 Liberty ST,Building fire,41.8913663,-91.9849154
Norway Fire & Rescue,4,6/3/12,2012,3074 75th ST,Building fire,41.931404,-91.895221
Shellsburg Fire Department,7,3/30/10,2010,6288 32nd AVE,Building fire,42.111582,-91.870866
Shellsburg Fire Department,18,2/8/11,2011,3186 62nd ST,Building fire,42.122951,-91.875698
Shellsburg Fire Department,10,5/1/11,2011,6678 29th AVE,Building fire,42.05401,-91.931527
Shellsburg Fire Department,16,7/18/11,2011,5993 29th AVE,Building fire,42.0978671,-91.9277586
Shellsburg Fire Department,7,9/15/11,2011,207 Grove ST,"Chimney or flue fire, confined to chimney or flue",42.0954655,-91.8724495
Shellsburg Fire Department,10,10/9/11,2011,6676 32nd AVE Apt lot 88,Building fire,42.055394,-91.866908
Shellsburg Fire Department,15,12/9/11,2011,2945 61 street TRL,Building fire,42.1246988,-91.9140805
Shellsburg Fire Department,11,12/10/11,2011,2945 61 street TRL,Building fire,42.1246988,-91.9140805
Shellsburg Fire Department,7,8/13/12,2012,8381 86th ST,Building fire,42.0945385,-91.8693231
Urbana Polk Twp Fire Department,9,1/26/10,2010,108 Richland AVE,Building fire,42.223805,-91.8819369
Urbana Polk Twp Fire Department,5,11/24/10,2010,606 Hope AVE,Building fire,42.21946,-91.883599
Urbana Polk Twp Fire Department,12,12/6/10,2010,5544 29 th AVE,"Chimney or flue fire, confined to chimney or flue",42.218578,-91.929272
Urbana Polk Twp Fire Department,8,4/4/11,2011,105 Brush AVE,Building fire,42.223551,-91.8748449
Urbana Polk Twp Fire Department,13,6/26/12,2012,5299 33rd Avenue Dr.,Building fire,42.256113,-91.849018
Urbana Polk Twp Fire Department,12,12/10/12,2012,2560 Bing Miller LN,"Fire in mobile prop. used as a fixed struc., other",42.222397,-91.9017779
Urbana Polk Twp Fire Department,10,2/16/13,2013,5681 32nd AVE,Building fire,42.198351,-91.877392
Urbana Polk Twp Fire Department,16,3/21/14,2014,2903 51st. St.,Building fire,42.2830588,-91.9269619
Van Horne Fire Department,3,3/16/12,2012,2147 70th ST,Building fire,42.007365,-92.076857
Van Horne Fire Department,5,10/3/12,2012,124 Main ST,Building fire,42.008413,-92.091514
Van Horne Fire Department,5,10/3/12,2012,504 2nd AVE,Building fire,42.0085512,-92.0912064
Van Horne Fire Department,5,10/3/12,2012,122 Main ST,Building fire,42.0083528,-92.0911653
Van Horne Fire Department,6,2/16/14,2014,300 8th ST Apt 10,"Cooking fire, confined to container",42.009622,-92.095642
Van Horne Fire Department,6,3/14/14,2014,110 9th ST,Building fire,42.008306,-92.096904
Van Horne Fire Department,2,8/18/14,2014,300 8th ST Apt 10,"Cooking fire, confined to container",42.009622,-92.095642
Van Horne Fire Department,5,12/8/14,2014,104 2nd ST,"Trash or rubbish fire, contained",42.007784,-92.087405
Vinton Fire Department,3,6/29/10,2010,812 1st AVE,Building fire,42.163196,-92.023898
Vinton Fire Department,8,1/18/11,2011,2671 54th ST,Building fire,42.2392593,-91.9735532
Vinton Fire Department,5,1/18/11,2011,707 6th AVE,"Chimney or flue fire, confined to chimney or flue",42.164384,-92.018373
Vinton Fire Department,3,10/27/11,2011,1601 W D ST,"Chimney or flue fire, confined to chimney or flue",42.17441,-92.039874
Vinton Fire Department,7,11/13/11,2011,704 2nd AVE,Building fire,42.164484,-92.022558
Vinton Fire Department,5,11/30/11,2011,105 M AVE,"Chimney or flue fire, confined to chimney or flue",42.171981,-92.041555
Vinton Fire Department,8,12/24/11,2011,6097 26th AVE,Building fire,42.137953,-91.989968
Vinton Fire Department,5,12/24/11,2011,1109 3rd AVE,Building fire,42.160721,-92.022053
Vinton Fire Department,5,1/27/12,2012,1008 S 9th AVE,Building fire,42.161351,-92.01398
Vinton Fire Department,4,2/10/12,2012,813 W 3rd ST,Fires in structure other than in a building,42.168958,-92.033427
Vinton Fire Department,6,4/6/12,2012,1611 W 1st ST,"Cooking fire, confined to container",42.1702668,-92.0435503
Vinton Fire Department,6,6/4/12,2012,314 W 5th ST,"Cooking fire, confined to container",42.1663659,-92.027617
Vinton Fire Department,9,7/25/12,2012,6457 23rd AVE,Building fire,42.083441,-92.050212
Vinton Fire Department,5,8/13/12,2012,1504 S 2nd Ave,Building fire,42.156344,-92.021995
Vinton Fire Department,6,1/31/13,2013,1021 GOLF VIEW DR,"Chimney or flue fire, confined to chimney or flue",42.175655,-92.011841
Vinton Fire Department,11,3/19/13,2013,2480 54th ST,Building fire,42.2385,-92.011277
Vinton Fire Department,4,6/22/13,2013,710 6th AVE,Building fire,42.164098,-92.017673
Vinton Fire Department,5,9/12/13,2013,419 W 15th ST,Building fire,42.157818,-92.028782
Vinton Fire Department,7,12/11/13,2013,514 S K AVE,Building fire,42.166203,-92.036714
Vinton Fire Department,3,12/25/13,2013,517 W 6th ST,"Cooking fire, confined to container",42.165984,-92.030007
Vinton Fire Department,13,1/5/14,2014,6445 25th AVE,Building fire,42.083306,-92.014384
Vinton Fire Department,5,1/6/14,2014,312 E 4th ST,"Chimney or flue fire, confined to chimney or flue",42.167333,-92.020921
Vinton Fire Department,6,1/11/14,2014,1701 W 1st ST,Building fire,42.1702718,-92.0444375
Vinton Fire Department,6,1/25/14,2014,1015 1st AVE,"Chimney or flue fire, confined to chimney or flue",42.1612129,-92.024775
Vinton Fire Department,3,2/26/14,2014,2449 63rd ST,"Chimney or flue fire, confined to chimney or flue",42.10889,-92.019273
Vinton Fire Department,5,3/29/14,2014,1609 W 1st ST,"Cooking fire, confined to container",42.1702655,-92.0434172
Vinton Fire Department,2,4/18/14,2014,1002 G AVE,Building fire,42.1615667,-92.0344376
Vinton Fire Department,6,5/8/14,2014,704 E 8th ST,Building fire,42.163447,-92.016515
Vinton Fire Department,5,5/29/14,2014,906 A AVE,Building fire,42.162488,-92.025332
Vinton Fire Department,4,10/7/14,2014,610 E 6th ST,Building fire,42.1656398,-92.0173137
Ladora Fire Department,7,6/8/10,2010,and 1330 180th Street,Building fire,41.7500345,-92.2340466
Ladora Fire Department,5,7/23/10,2010,and 1403 160th,Building fire,41.7755735,-92.2202844
Ladora Fire Department,8,12/4/10,2010,and 1481 E avenue,Building fire,41.6474024,-92.2212392
Ladora Fire Department,8,12/4/10,2010,and 1481 e ave.,Building fire,41.6474024,-92.2212392
Ladora Fire Department,14,4/17/12,2012,and 1894 F Ave,Building fire,41.7331598,-92.2017095
Ladora Fire Department,10,5/31/12,2012,and 1894 F ave,Building fire,41.7331598,-92.2017095
Ladora Fire Department,9,5/31/12,2012,and 1894 F ave,Building fire,41.7331598,-92.2017095
Ladora Fire Department,4,3/26/14,2014,1418 A-diagonal ALY,Building fire,41.7547247,-92.1835156
Millersburg Fire Department,9,9/25/11,2011,2669 J AVE,Building fire,41.6003368,-92.1235965
North English Fire Department,8,2/19/10,2010,216 N Campbell ST,Building fire,41.5161587,-92.0848049
North English Fire Department,2,4/19/11,2011,135 W SUMMIT ST,"Chimney or flue fire, confined to chimney or flue",41.5097988,-92.0769236
North English Fire Department,2,5/23/12,2012,115 W CLARK ST,Building fire,41.5139434,-92.0768102
North English Fire Department,4,10/18/12,2012,113 W Oak ST,Building fire,41.5150349,-92.0767576
North English Fire Department,6,3/18/13,2013,220 N HIGHLAND ST,"Chimney or flue fire, confined to chimney or flue",41.5165782,-92.0813256
North English Fire Department,17,4/23/13,2013,3080 O AVE,Building fire,41.5566871,-92.0231685
North English Fire Department,5,6/28/13,2013,210 S COLLEGE ST,Building fire,41.513855,-92.080523
North English Fire Department,10,7/16/13,2013,254 E CLARK ST,Building fire,41.5139454,-92.074172
North English Fire Department,7,10/27/13,2013,28378 KEOKUK IOWA RD,Building fire,41.5104253,-92.0515401
Victor Fire Department,3,2/29/12,2012,"and A Diagonal & IA/PO County Line Road

Old Dolmage farm",Building fire,41.7316675,-92.2979615
Victor Fire Department,2,3/15/12,2012,"and 2241 Old Highway 6

Carnforth Inn",Building fire,41.7316675,-92.2979615
Victor Fire Department,2,4/16/12,2012,"and 1828 Ia/Poweshiek county line

Ed DeNeve Farm",Building fire,41.7316675,-92.2979615
Victor Fire Department,10,7/7/12,2012,4080 Highway 21,Building fire,41.7071442,-92.3577711
Victor Fire Department,3,4/5/13,2013,1764 A AVE,Building fire,41.7301065,-92.2885796
Victor Fire Department,3,4/6/13,2013,2455 Highway 6,Building fire,41.7472347,-92.308289
Williamsburg Fire Department,8,2/24/10,2010,2630 265TH ST,Building fire,41.6227717,-91.9836179
Williamsburg Fire Department,3,7/12/10,2010,300 FRANKLIN ST,Building fire,41.6636095,-92.0059409
Williamsburg Fire Department,7,8/28/10,2010,335 EVANS ST,Building fire,41.690112,-92.0063558
Williamsburg Fire Department,4,10/3/10,2010,204 E WALNUT,Building fire,41.662801,-92.0058932
Williamsburg Fire Department,9,10/9/10,2010,847 COAKLEY,"Cooking fire, confined to container",41.5828622,-92.0055132
Williamsburg Fire Department,2,11/16/10,2010,100 North St Apt 2,"Cooking fire, confined to container",41.6646775,-92.0073479
Williamsburg Fire Department,10,12/9/10,2010,748 F St,Building fire,41.7285147,-91.996685
Williamsburg Fire Department,16,1/13/11,2011,2776 W AVE,"Chimney or flue fire, confined to chimney or flue",41.6903625,-91.8725687
Williamsburg Fire Department,6,3/1/11,2011,235 EVANS ST,"Cooking fire, confined to container",41.6898808,-92.0063601
Williamsburg Fire Department,4,4/2/11,2011,406 E STATE ST,Building fire,41.6616227,-92.0023045
Williamsburg Fire Department,5,4/3/11,2011,406 E STATE ST,Building fire,41.6616227,-92.0023045
Williamsburg Fire Department,15,6/1/11,2011,3331 260TH ST,Building fire,41.6295449,-91.8464044
Williamsburg Fire Department,7,9/4/11,2011,461 HATTER AVE,Building fire,41.584556,-92.0043158
Williamsburg Fire Department,8,9/30/11,2011,2456 U AVE,Fires in structure other than in a building,41.6561011,-91.9103434
Williamsburg Fire Department,12,11/10/11,2011,2911 S AVE,Building fire,41.5827859,-91.9463086
Williamsburg Fire Department,8,1/5/12,2012,2677 280th ST,Building fire,41.6010187,-91.9701652
Williamsburg Fire Department,8,4/27/12,2012,332 10TH AVE,Building fire,41.7323798,-91.9935549
Williamsburg Fire Department,5,2/9/13,2013,533 HAWKEYE DR Apt 2,Building fire,41.6810881,-92.0148468
Williamsburg Fire Department,12,4/29/13,2013,2911 S AVE,Building fire,41.5827859,-91.9463086
Williamsburg Fire Department,9,10/27/13,2013,100 VILLAGE VIEW CIR,"Cooking fire, confined to container",41.6719719,-92.0023341
Williamsburg Fire Department,7,11/25/13,2013,306 W OAK ST,Building fire,41.6591292,-92.0103764
Williamsburg Fire Department,13,1/16/14,2014,2323 290th ST,Building fire,41.5829916,-92.0512248
Williamsburg Fire Department,10,2/17/14,2014,2543 Q BLVD,Building fire,41.6344653,-91.9783989
Williamsburg Fire Department,7,3/14/14,2014,2752 200th St.,"Chimney or flue fire, confined to chimney or flue",41.716388,-91.9590265
Williamsburg Fire Department,10,3/21/14,2014,1862 230th ST,Building fire,41.6734162,-92.1316192
Williamsburg Fire Department,12,3/25/14,2014,3028 225th ST,Building fire,41.6808385,-91.905447
Williamsburg Fire Department,2,5/11/14,2014,549 S Maplewood Drive,Building fire,41.6538534,-91.9977352
Williamsburg Fire Department,13,12/8/14,2014,1903 247TH ST,Building fire,41.6479376,-92.1239522
Amana Fire District,5,7/15/10,2010,2812 G ST,Building fire,41.8007429,-91.8985248
Amana Fire District,5,7/15/10,2010,2812 G ST,Building fire,41.8007429,-91.8985248
Amana Fire District,7,4/3/11,2011,1111 27th AVE,Building fire,41.8016186,-91.8998741
Amana Fire District,11,9/24/11,2011,3228 Benton Iowa RD,Fires in structure other than in a building,41.861709,-91.8497565
Amana Fire District,9,8/4/12,2012,1007 26 th ST,Building fire,41.7967719,-91.9023183
Amana Fire District,10,11/11/12,2012,1132 26th AVE,"Cooking fire, confined to container",41.7958658,-91.9024684
Amana Fire District,11,4/19/13,2013,306 220TH TRL,"Chimney or flue fire, confined to chimney or flue",41.7762348,-91.9671084
Amana Fire District,15,6/22/13,2013,3192 110th ST,Building fire,41.8469898,-91.8553481
Amana Fire District,16,2/13/14,2014,3352 110th ST,"Chimney or flue fire, confined to chimney or flue",41.8472045,-91.8409927
Amana Fire District,17,2/28/14,2014,1708 4th ST,Building fire,41.8073233,-91.9673825
Amana Fire District,13,4/25/14,2014,412 Street ST,Building fire,41.808061,-91.9637905
Amana Fire District,6,6/13/14,2014,715 38th ave AVE,"Fire in portable building, fixed location",41.8025421,-91.8781829
Coralville Fire Department,9,1/20/10,2010,209 Holiday RD Apt 315,"Cooking fire, confined to container",41.6937489,-91.568695
Coralville Fire Department,8,1/26/10,2010,2124 13th ST,"Cooking fire, confined to container",41.689413,-91.592801
Coralville Fire Department,11,2/6/10,2010,16 Auburn East LN,Building fire,41.709474,-91.563585
Coralville Fire Department,9,2/9/10,2010,2794 Commerce DR,"Cooking fire, confined to container",41.6953803,-91.6095143
Coralville Fire Department,17,2/17/10,2010,2884 Coral CT,"Cooking fire, confined to container",41.704085,-91.612617
Coralville Fire Department,7,3/4/10,2010,2551 Holiday RD,Building fire,41.6995712,-91.6047802
Coralville Fire Department,9,3/6/10,2010,1566 2nd ST,"Cooking fire, confined to container",41.6764779,-91.5856498
Coralville Fire Department,13,3/20/10,2010,3701 2nd ST,Building fire,41.7058983,-91.6320969
Coralville Fire Department,5,7/27/10,2010,1401 10th ST,"Cooking fire, confined to container",41.6867468,-91.5821857
Coralville Fire Department,4,8/3/10,2010,1799 5th ST,"Cooking fire, confined to container",41.679689,-91.58756
Coralville Fire Department,11,8/22/10,2010,2431 James ST,"Cooking fire, confined to container",41.6842701,-91.602452
Coralville Fire Department,7,8/30/10,2010,876 Boston WAY Apt 7,Building fire,41.6873069,-91.600059
Coralville Fire Department,9,9/6/10,2010,1470 Eastview DR,Building fire,41.6929202,-91.5753546
Coralville Fire Department,12,9/7/10,2010,300 Golfview AVE,"Cooking fire, confined to container",41.658807,-91.555904
Coralville Fire Department,4,9/9/10,2010,1473 2nd ST,"Cooking fire, confined to container",41.6764117,-91.5838888
Coralville Fire Department,5,9/19/10,2010,1525 5th ST,"Trash or rubbish fire, contained",41.677661,-91.5838822
Coralville Fire Department,16,10/7/10,2010,1507 Brown Deer RD,Building fire,41.694883,-91.573802
Coralville Fire Department,7,10/25/10,2010,405 21st AVE Apt 405,Building fire,41.685265,-91.592285
Coralville Fire Department,14,10/26/10,2010,401 4th AVE Apt D,Building fire,41.672751,-91.570792
Coralville Fire Department,5,11/1/10,2010,1920 12th AVE,"Cooking fire, confined to container",41.700868,-91.587232
Coralville Fire Department,4,11/1/10,2010,404B 6th ST Apt 3,"Cooking fire, confined to container",41.675562,-91.5689079
Coralville Fire Department,0,11/4/10,2010,737 20th AVE,"Cooking fire, confined to container",41.6809088,-91.5907576
Coralville Fire Department,6,12/5/10,2010,1080 Ashlynd DR,Building fire,41.7013009,-91.58445
Coralville Fire Department,5,12/19/10,2010,622 12th AVE Apt 4,"Cooking fire, confined to container",41.677921,-91.581468
Coralville Fire Department,6,12/29/10,2010,419 10th AVE Apt 1,"Cooking fire, confined to container",41.674109,-91.577899
Coralville Fire Department,4,1/4/11,2011,2500 Corridor Way Apt 1,"Cooking fire, confined to container",41.6954919,-91.604576
Coralville Fire Department,5,1/5/11,2011,209 Holiday RD,"Cooking fire, confined to container",41.6937489,-91.568695
Coralville Fire Department,6,1/10/11,2011,2781 Oakdale BLVD Apt 1,"Incinerator overload or malfunction, fire confined",41.7092957,-91.6110619
Coralville Fire Department,10,2/2/11,2011,102 2nd AVE Apt D,Building fire,41.6687273,-91.5690859
Coralville Fire Department,7,2/17/11,2011,1401 9th ST,"Cooking fire, confined to container",41.6842384,-91.5822207
Coralville Fire Department,9,2/20/11,2011,102 2nd AVE,"Cooking fire, confined to container",41.6687273,-91.5690859
Coralville Fire Department,9,2/20/11,2011,2000 James ST,Building fire,41.6788166,-91.5941905
Coralville Fire Department,10,2/27/11,2011,1921 South Ridge CT,"Cooking fire, confined to container",41.69846,-91.587082
Coralville Fire Department,5,3/7/11,2011,2421 James ST Apt 32,Building fire,41.6834542,-91.6009432
Coralville Fire Department,6,3/9/11,2011,810 1st AVE,Building fire,41.6806342,-91.5662857
Coralville Fire Department,7,3/20/11,2011,31 Redtail DR Apt 9,"Cooking fire, confined to container",41.6871663,-91.5668561
Coralville Fire Department,3,3/25/11,2011,2317 12th ST,Building fire,41.689271,-91.59737
Coralville Fire Department,10,4/11/11,2011,868 Boston WAY,Building fire,41.687636,-91.600059
Coralville Fire Department,9,4/23/11,2011,2491 Holiday RD Apt 301,"Cooking fire, confined to container",41.697777,-91.6039253
Coralville Fire Department,12,4/27/11,2011,87 2nd ST,"Cooking fire, confined to container",41.668823,-91.56339
Coralville Fire Department,8,5/19/11,2011,250 Koser AVE,"Cooking fire, confined to container",41.655263,-91.5592039
Coralville Fire Department,0,6/2/11,2011,2234 10th ST Apt 4,"Cooking fire, confined to container",41.6877211,-91.5953655
Coralville Fire Department,6,6/9/11,2011,1449 Valley View DR Apt B,"Cooking fire, confined to container",41.6923109,-91.581407
Coralville Fire Department,5,6/9/11,2011,209 Holiday RD Apt 125,Building fire,41.6937489,-91.568695
Coralville Fire Department,5,7/9/11,2011,1471 2nd ST,"Cooking fire, confined to container",41.6764117,-91.5838888
Coralville Fire Department,7,8/23/11,2011,2551 Heartland PL,"Trash or rubbish fire, contained",41.6987185,-91.6094348
Coralville Fire Department,6,9/4/11,2011,720 11th AVE,Building fire,41.680082,-91.57956
Coralville Fire Department,10,9/11/11,2011,600 Grandview CT Apt 612,"Cooking fire, confined to container",41.6526204,-91.5582036
Coralville Fire Department,7,10/1/11,2011,2491 Holiday RD,"Cooking fire, confined to container",41.697777,-91.6039253
Coralville Fire Department,4,10/25/11,2011,2265 9th ST,Building fire,41.685214,-91.597375
Coralville Fire Department,8,10/29/11,2011,502 5th ST Apt 5,"Fuel burner/boiler malfunction, fire confined",41.67373,-91.572323
Coralville Fire Department,0,11/3/11,2011,1512 7th ST,"Cooking fire, confined to container",41.677997,-91.5833653
Coralville Fire Department,8,11/13/11,2011,108 2nd AVE,"Fuel burner/boiler malfunction, fire confined",41.669193,-91.5682452
Coralville Fire Department,8,11/20/11,2011,102 2nd AVE,"Cooking fire, confined to container",41.6687273,-91.5690859
Coralville Fire Department,2,11/30/11,2011,414 10th AVE Apt B,"Cooking fire, confined to container",41.6742139,-91.578726
Coralville Fire Department,9,12/13/11,2011,3701 2nd ST Apt 346,Fire in mobile home used as fixed residence,41.7058983,-91.6320969
Coralville Fire Department,1,12/13/11,2011,604 11th AVE,"Cooking fire, confined to container",41.677119,-91.579632
Coralville Fire Department,8,12/19/11,2011,3701 2nd ST Apt 357,Building fire,41.7058983,-91.6320969
Coralville Fire Department,4,12/19/11,2011,2029 10th ST,Building fire,41.6877584,-91.5923952
Coralville Fire Department,3,12/22/11,2011,1708 12th AVE,Building fire,41.697428,-91.584599
Coralville Fire Department,3,12/22/11,2011,1706 12th AVE,Building fire,41.697364,-91.584369
Coralville Fire Department,6,2/4/12,2012,2571 Heartland PL,"Cooking fire, confined to container",41.6996797,-91.60936
Coralville Fire Department,4,2/6/12,2012,1799 5th ST Apt 318,"Cooking fire, confined to container",41.679689,-91.58756
Coralville Fire Department,7,2/24/12,2012,2040 Northland CIR,"Cooking fire, confined to container",41.693544,-91.590752
Coralville Fire Department,2,2/28/12,2012,2016 9th ST,"Cooking fire, confined to container",41.683559,-91.591046
Coralville Fire Department,7,3/13/12,2012,2030 9th ST Apt 11,"Cooking fire, confined to container",41.6835964,-91.5922532
Coralville Fire Department,5,3/28/12,2012,704 1st AVE,Building fire,41.6792701,-91.5669525
Coralville Fire Department,7,4/12/12,2012,102 2nd AVE,"Cooking fire, confined to container",41.6687273,-91.5690859
Coralville Fire Department,7,4/27/12,2012,1451 Coral Ridge AVE,"Cooking fire, confined to container",41.690327,-91.6052831
Coralville Fire Department,0,5/24/12,2012,2491 Holiday RD,"Cooking fire, confined to container",41.697777,-91.6039253
Coralville Fire Department,7,6/1/12,2012,600 Grandview CT Apt 612,"Cooking fire, confined to container",41.6526204,-91.5582036
Coralville Fire Department,9,7/5/12,2012,304 D 6th ST Apt 1,"Cooking fire, confined to container",41.675562,-91.5689079
Coralville Fire Department,5,7/18/12,2012,2535 Sage CT,Fires in structure other than in a building,41.7091634,-91.5809984
Coralville Fire Department,8,7/25/12,2012,3004 Wind Ridge CT,"Cooking fire, confined to container",41.715416,-91.582986
Coralville Fire Department,3,8/9/12,2012,1408 21st AVE,"Cooking fire, confined to container",41.6834487,-91.594414
Coralville Fire Department,1,8/22/12,2012,606 11th AVE,Building fire,41.677283,-91.579628
Coralville Fire Department,0,9/7/12,2012,1401 5th ST,"Cooking fire, confined to container",41.6772075,-91.5818517
Coralville Fire Department,10,9/15/12,2012,3701 2nd ST Apt 355,"Cooking fire, confined to container",41.7058983,-91.6320969
Coralville Fire Department,5,9/16/12,2012,934 Boston WAY Apt 3,Building fire,41.684593,-91.599609
Coralville Fire Department,8,9/20/12,2012,1799 5th ST Apt 318,"Cooking fire, confined to container",41.679689,-91.58756
Coralville Fire Department,6,10/10/12,2012,2888 Coral CT Apt 102,Building fire,41.70498,-91.612686
Coralville Fire Department,6,10/10/12,2012,2888 Coral CT Apt 202,Building fire,41.70498,-91.612686
Coralville Fire Department,1,10/29/12,2012,407 4th AVE Apt F,"Cooking fire, confined to container",41.673207,-91.570536
Coralville Fire Department,9,11/2/12,2012,1737 Timber Hills DR,Building fire,41.698421,-91.58112
Coralville Fire Department,6,11/7/12,2012,1619 2nd ST,"Cooking fire, confined to container",41.6771922,-91.5854075
Coralville Fire Department,12,11/10/12,2012,420 5th ST Apt 15,"Cooking fire, confined to container",41.673735,-91.571777
Coralville Fire Department,5,11/12/12,2012,210 Holiday RD,"Chimney or flue fire, confined to chimney or flue",41.6927129,-91.5689948
Coralville Fire Department,7,11/17/12,2012,309 7th ST,Fires in structure other than in a building,41.678301,-91.56964
Coralville Fire Department,5,12/1/12,2012,2491 Holiday RD,"Cooking fire, confined to container",41.697777,-91.6039253
Coralville Fire Department,7,12/1/12,2012,1560 5th ST,"Cooking fire, confined to container",41.6764117,-91.5838888
