Incident FDID,County,Service Name,Time Diff : Alarm - Arrival,time_diff_edit,Incident Date,Year,Full Address,Incident City,Fire Incident Type - Code,Fire Incident Type,full_address_geocode,lat,long
6002,Benton,Belle Plaine Fire Department,0:03,3,10/20/13,2013,1403 6th AVE,Belle Plaine,111,Building fire,"1403 6th AVE, Belle Plaine, Iowa",41.898381,-92.279396
6002,Benton,Belle Plaine Fire Department,0:05,5,11/16/13,2013,1606 7th AVE,Belle Plaine,111,Building fire,"1606 7th AVE, Belle Plaine, Iowa",41.901304,-92.279133
6002,Benton,Belle Plaine Fire Department,0:04,4,12/21/13,2013,701 8th AVE,Belle Plaine,111,Building fire,"701 8th AVE, Belle Plaine, Iowa",41.891343,-92.276075
6002,Benton,Belle Plaine Fire Department,0:15,15,1/26/14,2014,7629 16th AVE,Belle Plaine,111,Building fire,"7629 16th AVE, Belle Plaine, Iowa",41.916929,-92.186128
6002,Benton,Belle Plaine Fire Department,0:12,12,2/9/14,2014,7772 13th ave dr AVE,Belle Plaine,111,Building fire,"7772 13th ave dr AVE, Belle Plaine, Iowa",41.8955529,-92.2757404
6002,Benton,Belle Plaine Fire Department,0:23,23,2/25/14,2014,3069 390th ST,Belle Plaine,111,Building fire,"3069 390th ST, Belle Plaine, Iowa",41.8614515,-92.3274384
6002,Benton,Belle Plaine Fire Department,0:11,11,5/25/14,2014,104 maple ST,Belle Plaine,111,Building fire,"104 maple ST, Belle Plaine, Iowa",41.90497,-92.180361
6002,Benton,Belle Plaine Fire Department,0:04,4,9/20/14,2014,603 13th ST,Belle Plaine,111,Building fire,"603 13th ST, Belle Plaine, Iowa",41.8970537,-92.2795234
6002,Benton,Belle Plaine Fire Department,0:06,6,11/12/14,2014,506 17th STS,Belle Plaine,114,"Chimney or flue fire, confined to chimney or flue","506 17th STS, Belle Plaine, Iowa",41.90233,-92.280755
6003,Benton,Blairstown Fire Department,0:17,17,3/21/07,2007,7526 17th AVE,Blairstown,111,Building fire,"7526 17th AVE, Blairstown, Iowa",41.93172,-92.1615319
6003,Benton,Blairstown Fire Department,0:12,12,4/5/07,2007,7957 22nd AVDR,Blairstown,111,Building fire,"7957 22nd AVDR, Blairstown, Iowa",41.8773397,-92.0646162
6003,Benton,Blairstown Fire Department,0:06,6,1/25/08,2008,506 Prospect ST,Blairstown,111,Building fire,"506 Prospect ST, Blairstown, Iowa",41.907153,-92.076735
6003,Benton,Blairstown Fire Department,0:08,8,4/15/09,2009,7837 16th AVTR,Blairstown,111,Building fire,"7837 16th AVTR, Blairstown, Iowa",41.887124,-92.1652039
6003,Benton,Blairstown Fire Department,0:04,4,9/30/10,2010,303 SE charles ST Apt 14,Blairstown,113,"Cooking fire, confined to container","303 SE charles ST Apt 14, Blairstown, Iowa",41.9043445,-92.0826002
6003,Benton,Blairstown Fire Department,0:05,5,1/31/11,2011,300 locust ST Apt 1,Blairstown,111,Building fire,"300 locust ST Apt 1, Blairstown, Iowa",41.908876,-92.084087
6003,Benton,Blairstown Fire Department,0:05,5,8/13/11,2011,604 Locust ST NE,Blairstown,111,Building fire,"604 Locust ST NE, Blairstown, Iowa",41.9109501,-92.084433
6003,Benton,Blairstown Fire Department,0:13,13,2/3/12,2012,2482 77th STS,Blairstown,111,Building fire,"2482 77th STS, Blairstown, Iowa",41.9062539,-92.0456069
6003,Benton,Blairstown Fire Department,0:03,3,4/24/12,2012,308 fremont ST SE,Blairstown,113,"Cooking fire, confined to container","308 fremont ST SE, Blairstown, Iowa",41.906004,-92.080051
6003,Benton,Blairstown Fire Department,0:04,4,3/3/13,2013,109 Spruce ST,Blairstown,113,"Cooking fire, confined to container","109 Spruce ST, Blairstown, Iowa",41.9093221,-92.0861229
6003,Benton,Blairstown Fire Department,0:05,5,8/18/13,2013,and The Apartment above the Bent Bucket corner bar.,Blairstown,111,Building fire,"and The Apartment above the Bent Bucket corner bar., Blairstown, Iowa",41.9086563,-92.0845119
6003,Benton,Blairstown Fire Department,0:15,15,10/19/13,2013,7833 19th AVE,Blairstown,111,Building fire,"7833 19th AVE, Blairstown, Iowa",41.883786,-92.126946
6003,Benton,Blairstown Fire Department,0:07,7,11/14/13,2013,207 NE Prospect,Blairstown,111,Building fire,"207 NE Prospect, Blairstown, Iowa",41.907825,-92.0817919
6003,Benton,Blairstown Fire Department,0:15,15,4/9/14,2014,1695 78th ST,Blairstown,111,Building fire,"1695 78th ST, Blairstown, Iowa",41.891555,-92.1632565
6003,Benton,Blairstown Fire Department,0:11,11,11/1/14,2014,1671 77 ST,Blairstown,118,"Trash or rubbish fire, contained","1671 77 ST, Blairstown, Iowa",41.9060702,-92.1614626
6004,Benton,Garrison Fire Department,0:04,4,1/27/04,2004,102 S Sycamore ST,Garrison,111,Building fire,"102 S Sycamore ST, Garrison, Iowa",42.144128,-92.1437841
6004,Benton,Garrison Fire Department,0:04,4,10/15/04,2004,310 W Main ST,Garrison,111,Building fire,"310 W Main ST, Garrison, Iowa",42.1442156,-92.1462738
6004,Benton,Garrison Fire Department,0:05,5,12/13/04,2004,301 Walnut ST,Garrison,111,Building fire,"301 Walnut ST, Garrison, Iowa",42.1422083,-92.1401521
6004,Benton,Garrison Fire Department,0:03,3,12/27/04,2004,302 E Oak ST,Garrison,111,Building fire,"302 E Oak ST, Garrison, Iowa",42.1432075,-92.1413048
6004,Benton,Garrison Fire Department,0:06,6,12/23/06,2006,6039 19 AVE,Garrison,111,Building fire,"6039 19 AVE, Garrison, Iowa",42.1469605,-92.1242103
6004,Benton,Garrison Fire Department,0:05,5,2/5/07,2007,207 E Oak ST,Garrison,111,Building fire,"207 E Oak ST, Garrison, Iowa",42.1431915,-92.1424648
6004,Benton,Garrison Fire Department,0:06,6,8/23/07,2007,1656 64 ST,Garrison,112,Fires in structure other than in a building,"1656 64 ST, Garrison, Iowa",42.094175,-92.1722395
6004,Benton,Garrison Fire Department,0:03,3,11/6/07,2007,404 W Maple ST,Garrison,111,Building fire,"404 W Maple ST, Garrison, Iowa",42.1451574,-92.1473877
6004,Benton,Garrison Fire Department,0:08,8,1/18/09,2009,56 ST,Garrison,111,Building fire,"56 ST, Garrison, Iowa",42.2106619,-92.1923994
6004,Benton,Garrison Fire Department,0:10,10,4/6/10,2010,2011 60 ST. Dr.,Garrison,111,Building fire,"2011 60 ST. Dr., Garrison, Iowa",42.1484918,-92.1068305
6004,Benton,Garrison Fire Department,0:12,12,11/25/10,2010,64 ST,Garrison,111,Building fire,"64 ST, Garrison, Iowa",42.0941089,-92.1439282
6004,Benton,Garrison Fire Department,0:01,1,4/2/11,2011,5978 17th Avenue,Garrison,111,Building fire,"5978 17th Avenue, Garrison, Iowa",42.1551454,-92.1627819
6004,Benton,Garrison Fire Department,0:02,2,6/30/11,2011,404 W Maple Street,Garrison,111,Building fire,"404 W Maple Street, Garrison, Iowa",42.1451574,-92.1473877
6004,Benton,Garrison Fire Department,0:05,5,6/30/11,2011,206 Beach Avenue,Garrison,111,Building fire,"206 Beach Avenue, Garrison, Iowa",42.1441612,-92.1437942
6004,Benton,Garrison Fire Department,0:10,10,7/12/11,2011,301 Cedar Street,Garrison,111,Building fire,"301 Cedar Street, Garrison, Iowa",42.1412812,-92.1411665
6004,Benton,Garrison Fire Department,0:05,5,5/25/12,2012,302 E Oak ST,Garrison,111,Building fire,"302 E Oak ST, Garrison, Iowa",42.1432075,-92.1413048
6004,Benton,Garrison Fire Department,0:05,5,8/3/12,2012,1671 58th ST,Garrison,111,Building fire,"1671 58th ST, Garrison, Iowa",42.1810064,-92.1674606
6004,Benton,Garrison Fire Department,0:04,4,2/28/13,2013,307 Pine ST,Garrison,111,Building fire,"307 Pine ST, Garrison, Iowa",42.1422282,-92.1412689
6004,Benton,Garrison Fire Department,0:07,7,5/6/14,2014,203 Oak St.,Garrison,111,Building fire,"203 Oak St., Garrison, Iowa",42.143192,-92.142513
6004,Benton,Garrison Fire Department,0:13,13,6/27/14,2014,1547 61st ST,Garrison,111,Building fire,"1547 61st ST, Garrison, Iowa",42.1377107,-92.1927184
6005,Benton,Keystone Fire Department,0:12,12,10/5/12,2012,6682 16th Ave.,Keystone,111,Building fire,"6682 16th Ave., Keystone, Iowa",42.053905,-92.182056
6005,Benton,Keystone Fire Department,0:14,14,10/29/14,2014,1265 65th street,Keystone,111,Building fire,"1265 65th street, Keystone, Iowa",42.0799812,-92.2330788
6005,Benton,Keystone Fire Department,0:08,8,11/2/14,2014,1521 68th street,Keystone,111,Building fire,"1521 68th street, Keystone, Iowa",42.037283,-92.1975159
6005,Benton,Keystone Fire Department,0:13,13,11/30/14,2014,1521 68th street,Keystone,111,Building fire,"1521 68th street, Keystone, Iowa",42.037283,-92.1975159
6007,Benton,Mount Auburn Fire Department,0:10,10,4/10/06,2006,1412 53rd Street,Mount Auburn,111,Building fire,"1412 53rd Street, Mount Auburn, Iowa",42.2540557,-92.161827
6007,Benton,Mount Auburn Fire Department,0:16,16,9/9/06,2006,1670 52nd Street,Mount Auburn,111,Building fire,"1670 52nd Street, Mount Auburn, Iowa",42.2684528,-92.1504217
6007,Benton,Mount Auburn Fire Department,0:01,1,10/31/06,2006,City,Mount Auburn,112,Fires in structure other than in a building,"City, Mount Auburn, Iowa",42.2566856,-92.0928678
6008,Benton,Newhall Fire Department,0:12,12,5/1/04,2004,2409 73rd ST,Newhall,111,Building fire,"2409 73rd ST, Newhall, Iowa",41.9636676,-92.0118071
6008,Benton,Newhall Fire Department,0:09,9,5/2/04,2004,2409 73rd ST,Newhall,111,Building fire,"2409 73rd ST, Newhall, Iowa",41.9636676,-92.0118071
6008,Benton,Newhall Fire Department,0:10,10,5/1/05,2005,6719 25th AVE,Newhall,111,Building fire,"6719 25th AVE, Newhall, Iowa",42.0307164,-92.0097945
6008,Benton,Newhall Fire Department,0:09,9,5/29/05,2005,2631 69th ST,Newhall,111,Building fire,"2631 69th ST, Newhall, Iowa",42.025151,-91.983071
6008,Benton,Newhall Fire Department,0:07,7,5/29/05,2005,2631 69th ST,Newhall,111,Building fire,"2631 69th ST, Newhall, Iowa",42.025151,-91.983071
6008,Benton,Newhall Fire Department,0:16,16,8/18/05,2005,6627 26th AVE,Newhall,111,Building fire,"6627 26th AVE, Newhall, Iowa",42.0360657,-91.9904996
6008,Benton,Newhall Fire Department,0:07,7,1/11/07,2007,102 1st ST E,Newhall,111,Building fire,"102 1st ST E, Newhall, Iowa",41.994505,-91.9700792
6008,Benton,Newhall Fire Department,0:08,8,3/27/07,2007,2460 70th ST,Newhall,111,Building fire,"2460 70th ST, Newhall, Iowa",42.006722,-92.016774
6008,Benton,Newhall Fire Department,0:12,12,2/10/08,2008,6774 24th ave,Newhall,111,Building fire,"6774 24th ave, Newhall, Iowa",42.0214022,-92.0292352
6008,Benton,Newhall Fire Department,0:05,5,10/17/08,2008,404 3rd St E,Newhall,111,Building fire,"404 3rd St E, Newhall, Iowa",41.9927319,-91.963945
6008,Benton,Newhall Fire Department,0:04,4,2/20/09,2009,102 railroad st,Newhall,116,"Fuel burner/boiler malfunction, fire confined","102 railroad st, Newhall, Iowa",41.996096,-91.969282
6008,Benton,Newhall Fire Department,0:11,11,5/3/09,2009,2873 70th St,Newhall,111,Building fire,"2873 70th St, Newhall, Iowa",42.0069009,-91.9375278
6008,Benton,Newhall Fire Department,0:13,13,6/10/09,2009,6627 26th Ave,Newhall,118,"Trash or rubbish fire, contained","6627 26th Ave, Newhall, Iowa",42.0360657,-91.9904996
6008,Benton,Newhall Fire Department,0:07,7,8/17/09,2009,506 2nd Street East,Newhall,111,Building fire,"506 2nd Street East, Newhall, Iowa",41.99373,-91.9624599
6008,Benton,Newhall Fire Department,0:09,9,12/13/10,2010,6767 27th Ave,Newhall,111,Building fire,"6767 27th Ave, Newhall, Iowa",42.041587,-91.975781
6008,Benton,Newhall Fire Department,0:16,16,7/27/11,2011,7281 26th Ave,Newhall,111,Building fire,"7281 26th Ave, Newhall, Iowa",41.966223,-91.989399
6008,Benton,Newhall Fire Department,0:07,7,11/17/11,2011,Ave and St,Newhall,111,Building fire,"Ave and St, Newhall, Iowa",41.9955551,-91.9676815
6008,Benton,Newhall Fire Department,0:09,9,10/12/12,2012,2581 71st ST,Newhall,111,Building fire,"2581 71st ST, Newhall, Iowa",41.9925779,-91.9933408
6008,Benton,Newhall Fire Department,0:13,13,5/8/13,2013,7372 26th ave,Watkins,111,Building fire,"7372 26th ave, Watkins, Iowa",41.953195,-91.987719
6008,Benton,Newhall Fire Department,0:10,10,10/20/14,2014,6624 27th AVE,Newhall,116,"Fuel burner/boiler malfunction, fire confined","6624 27th AVE, Newhall, Iowa",42.0501581,-91.9709312
6009,Benton,Norway Fire & Rescue,0:13,13,11/30/04,2004,3260 75TH ST,FAIRFAX,111,Building fire,"3260 75TH ST, FAIRFAX, Iowa",41.930651,-91.857192
6009,Benton,Norway Fire & Rescue,0:11,11,4/6/05,2005,2632 75TH ST,WATKINS,111,Building fire,"2632 75TH ST, WATKINS, Iowa",41.934126,-91.979956
6009,Benton,Norway Fire & Rescue,0:18,18,3/13/07,2007,31 AVE,NORWAY,111,Building fire,"31 AVE, NORWAY, Iowa",41.8761729,-91.8898272
6009,Benton,Norway Fire & Rescue,0:08,8,11/27/08,2008,105 T AVE,NORWAY,111,Building fire,"105 T AVE, NORWAY, Iowa",41.8523935,-91.928152
6009,Benton,Norway Fire & Rescue,0:14,14,2/23/09,2009,28TH AVE,NORWAY,111,Building fire,"28TH AVE, NORWAY, Iowa",41.8965981,-91.9487404
6009,Benton,Norway Fire & Rescue,0:08,8,6/30/10,2010,3190 77TH STREET TRL,NORWAY,111,Building fire,"3190 77TH STREET TRL, NORWAY, Iowa",41.900519,-91.872944
6009,Benton,Norway Fire & Rescue,0:01,1,10/17/11,2011,105 Railroad ST,Norway,111,Building fire,"105 Railroad ST, Norway, Iowa",41.9024777,-91.9215452
6009,Benton,Norway Fire & Rescue,0:09,9,1/8/12,2012,2 Liberty ST,Watkins,111,Building fire,"2 Liberty ST, Watkins, Iowa",41.8913663,-91.9849154
6009,Benton,Norway Fire & Rescue,0:04,4,6/3/12,2012,3074 75th ST,Norway,111,Building fire,"3074 75th ST, Norway, Iowa",41.931404,-91.895221
6010,Benton,Shellsburg Fire Department,0:06,6,3/22/04,2004,and NW 61 ST LANE RD,SHELLSBURG,111,Building fire,"and NW 61 ST LANE RD, SHELLSBURG, Iowa",42.1386088,-91.8773574
6010,Benton,Shellsburg Fire Department,0:00,0,10/22/04,2004,6676 S 32ND AVE. AVE S,SHELLSBURG,121,Fire in mobile home used as fixed residence,"6676 S 32ND AVE. AVE S, SHELLSBURG, Iowa",42.0945385,-91.8693231
6010,Benton,Shellsburg Fire Department,0:10,10,9/5/05,2005,6505 32nd AVE,Shellsburg,111,Building fire,"6505 32nd AVE, Shellsburg, Iowa",42.07649,-91.871439
6010,Benton,Shellsburg Fire Department,0:06,6,11/2/05,2005,217 Maxwell DR,Shellsburg,111,Building fire,"217 Maxwell DR, Shellsburg, Iowa",42.088302,-91.87391
6010,Benton,Shellsburg Fire Department,0:05,5,1/2/06,2006,6594 32nd AVE,Shellsburg,111,Building fire,"6594 32nd AVE, Shellsburg, Iowa",42.0665885,-91.8690765
6010,Benton,Shellsburg Fire Department,0:18,18,2/24/07,2007,6155 Pearl Street ST SE,Shellsburg,111,Building fire,"6155 Pearl Street ST SE, Shellsburg, Iowa",42.0945385,-91.8693231
6010,Benton,Shellsburg Fire Department,0:04,4,3/16/08,2008,401 Canton ST,Shellsburg,112,Fires in structure other than in a building,"401 Canton ST, Shellsburg, Iowa",42.098912,-91.872787
6010,Benton,Shellsburg Fire Department,0:10,10,4/12/09,2009,6019 30th ave DR,Shellsburg,112,Fires in structure other than in a building,"6019 30th ave DR, Shellsburg, Iowa",42.0915504,-91.9125427
6010,Benton,Shellsburg Fire Department,0:16,16,11/6/09,2009,3341 59th street TRL,Shellsburg,111,Building fire,"3341 59th street TRL, Shellsburg, Iowa",42.1596867,-91.8754874
6010,Benton,Shellsburg Fire Department,0:07,7,3/30/10,2010,6288 32nd AVE,Shellsburg,111,Building fire,"6288 32nd AVE, Shellsburg, Iowa",42.111582,-91.870866
6010,Benton,Shellsburg Fire Department,0:18,18,2/8/11,2011,3186 62nd ST,Shellsburg,111,Building fire,"3186 62nd ST, Shellsburg, Iowa",42.122951,-91.875698
6010,Benton,Shellsburg Fire Department,0:10,10,5/1/11,2011,6678 29th AVE,Shellsburg,111,Building fire,"6678 29th AVE, Shellsburg, Iowa",42.05401,-91.931527
6010,Benton,Shellsburg Fire Department,0:16,16,7/18/11,2011,5993 29th AVE,Shellsburg,111,Building fire,"5993 29th AVE, Shellsburg, Iowa",42.0978671,-91.9277586
6010,Benton,Shellsburg Fire Department,0:07,7,9/15/11,2011,207 Grove ST,Shellsburg,114,"Chimney or flue fire, confined to chimney or flue","207 Grove ST, Shellsburg, Iowa",42.0954655,-91.8724495
6010,Benton,Shellsburg Fire Department,0:10,10,10/9/11,2011,6676 32nd AVE Apt lot 88,Shellsburg,111,Building fire,"6676 32nd AVE Apt lot 88, Shellsburg, Iowa",42.055394,-91.866908
6010,Benton,Shellsburg Fire Department,0:15,15,12/9/11,2011,2945 61 street TRL,Shellsburg,111,Building fire,"2945 61 street TRL, Shellsburg, Iowa",42.1246988,-91.9140805
6010,Benton,Shellsburg Fire Department,0:11,11,12/10/11,2011,2945 61 street TRL,Shellsburg,111,Building fire,"2945 61 street TRL, Shellsburg, Iowa",42.1246988,-91.9140805
6010,Benton,Shellsburg Fire Department,0:07,7,8/13/12,2012,8381 86th ST,Shellsburg,111,Building fire,"8381 86th ST, Shellsburg, Iowa",42.0945385,-91.8693231
6011,Benton,Urbana Polk Twp Fire Department,0:08,8,2/8/05,2005,2804 55 ST,Vinton,111,Building fire,"2804 55 ST, Vinton, Iowa",42.2243489,-91.946785
6011,Benton,Urbana Polk Twp Fire Department,0:10,10,7/21/05,2005,2908 56 St TRL,Urbana,111,Building fire,"2908 56 St TRL, Urbana, Iowa",42.200501,-91.928219
6011,Benton,Urbana Polk Twp Fire Department,0:02,2,12/4/05,2005,5369 Hutton DR,Urbana,112,Fires in structure other than in a building,"5369 Hutton DR, Urbana, Iowa",42.2418192,-91.8822665
6011,Benton,Urbana Polk Twp Fire Department,0:04,4,3/11/06,2006,3368 55 th STTR,Urbana,111,Building fire,"3368 55 th STTR, Urbana, Iowa",42.2257661,-91.8838659
6011,Benton,Urbana Polk Twp Fire Department,0:06,6,3/14/06,2006,5446 33 rd AVE,Urbana,111,Building fire,"5446 33 rd AVE, Urbana, Iowa",42.2344824,-91.8419673
6011,Benton,Urbana Polk Twp Fire Department,0:01,1,3/22/06,2006,3278 51 st ST,Urbana,111,Building fire,"3278 51 st ST, Urbana, Iowa",42.2801514,-91.862646
6011,Benton,Urbana Polk Twp Fire Department,0:04,4,3/22/06,2006,501 South ST,Urbana,121,Fire in mobile home used as fixed residence,"501 South ST, Urbana, Iowa",42.222766,-91.877476
6011,Benton,Urbana Polk Twp Fire Department,0:02,2,8/26/06,2006,101 N Union AVE,Urbana,113,"Cooking fire, confined to container","101 N Union AVE, Urbana, Iowa",42.225726,-91.871803
6011,Benton,Urbana Polk Twp Fire Department,0:05,5,10/15/06,2006,401 Brush AVE,Urbana,111,Building fire,"401 Brush AVE, Urbana, Iowa",42.221013,-91.874804
6011,Benton,Urbana Polk Twp Fire Department,0:05,5,11/16/06,2006,503 W Main ST,Urbana,111,Building fire,"503 W Main ST, Urbana, Iowa",42.224587,-91.878002
6011,Benton,Urbana Polk Twp Fire Department,0:05,5,1/30/07,2007,5414 32nd AVE,Urbana,111,Building fire,"5414 32nd AVE, Urbana, Iowa",42.2393984,-91.8711185
6011,Benton,Urbana Polk Twp Fire Department,0:04,4,11/17/07,2007,3397 56 th STDR,Urbana,111,Building fire,"3397 56 th STDR, Urbana, Iowa",42.2049189,-91.837087
6011,Benton,Urbana Polk Twp Fire Department,0:02,2,5/3/08,2008,306 W Main ST,Urbana,111,Building fire,"306 W Main ST, Urbana, Iowa",42.225705,-91.875666
6011,Benton,Urbana Polk Twp Fire Department,0:15,15,7/14/09,2009,5357 30th AVE,Urbana,111,Building fire,"5357 30th AVE, Urbana, Iowa",42.248253,-91.912051
6011,Benton,Urbana Polk Twp Fire Department,0:09,9,1/26/10,2010,108 Richland AVE,Urbana,111,Building fire,"108 Richland AVE, Urbana, Iowa",42.223805,-91.8819369
6011,Benton,Urbana Polk Twp Fire Department,0:05,5,11/24/10,2010,606 Hope AVE,Urbana,111,Building fire,"606 Hope AVE, Urbana, Iowa",42.21946,-91.883599
6011,Benton,Urbana Polk Twp Fire Department,0:12,12,12/6/10,2010,5544 29 th AVE,Urbana,114,"Chimney or flue fire, confined to chimney or flue","5544 29 th AVE, Urbana, Iowa",42.218578,-91.929272
6011,Benton,Urbana Polk Twp Fire Department,0:08,8,4/4/11,2011,105 Brush AVE,Urbana,111,Building fire,"105 Brush AVE, Urbana, Iowa",42.223551,-91.8748449
6011,Benton,Urbana Polk Twp Fire Department,0:13,13,6/26/12,2012,5299 33rd Avenue Dr.,Urbana,111,Building fire,"5299 33rd Avenue Dr., Urbana, Iowa",42.256113,-91.849018
6011,Benton,Urbana Polk Twp Fire Department,0:12,12,12/10/12,2012,2560 Bing Miller LN,Urbana,120,"Fire in mobile prop. used as a fixed struc., other","2560 Bing Miller LN, Urbana, Iowa",42.222397,-91.9017779
6011,Benton,Urbana Polk Twp Fire Department,0:10,10,2/16/13,2013,5681 32nd AVE,Urbana,111,Building fire,"5681 32nd AVE, Urbana, Iowa",42.198351,-91.877392
6011,Benton,Urbana Polk Twp Fire Department,0:16,16,3/21/14,2014,2903 51st. St.,Urbana,111,Building fire,"2903 51st. St., Urbana, Iowa",42.2830588,-91.9269619
6012,Benton,Van Horne Fire Department,0:08,8,4/8/05,2005,2209 72nd Street,Van Horne,111,Building fire,"2209 72nd Street, Van Horne, Iowa",41.981704,-92.061688
6012,Benton,Van Horne Fire Department,0:03,3,4/28/05,2005,5th Avenue 6th Street,Van Horne,113,"Cooking fire, confined to container","5th Avenue 6th Street, Van Horne, Iowa",42.0105412,-92.0926033
6012,Benton,Van Horne Fire Department,0:02,2,7/12/05,2005,89 2nd Avenue,Van Horne,111,Building fire,"89 2nd Avenue, Van Horne, Iowa",42.0088549,-92.08395
6012,Benton,Van Horne Fire Department,0:03,3,3/16/12,2012,2147 70th ST,Van Horne,111,Building fire,"2147 70th ST, Van Horne, Iowa",42.007365,-92.076857
6012,Benton,Van Horne Fire Department,0:05,5,10/3/12,2012,124 Main ST,Van Horne,111,Building fire,"124 Main ST, Van Horne, Iowa",42.008413,-92.091514
6012,Benton,Van Horne Fire Department,0:05,5,10/3/12,2012,504 2nd AVE,Van Horne,111,Building fire,"504 2nd AVE, Van Horne, Iowa",42.0085512,-92.0912064
