Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Sunovion Pharmaceuticals Inc.",MA,100000000254,2.99,07/02/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,8.01,04/08/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Biogen Idec Inc.",MA,100000000193,14.06,02/19/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,18.31,04/14/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,1000,07/25/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,1000,03/11/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Biogen Idec Inc.",MA,100000000193,7.29,11/04/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,2000,09/08/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,3000,04/21/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Upsher-Smith Laboratories Inc.",MN,100000005468,14.14,10/29/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,41.59,09/11/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,265.34,04/01/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,363.6,02/08/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,145.25,11/13/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,3000,04/28/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,10.84,03/25/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Biogen Idec Inc.",MA,100000000193,65.26,01/30/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Neurological Surgery",99544,"Questcor Pharmaceuticals",CA,100000010569,11.31,10/23/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Upsher-Smith Laboratories Inc.",MN,100000005468,10.76,08/20/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,54.63,02/08/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Sunovion Pharmaceuticals Inc.",MA,100000000254,2.55,05/08/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Sunovion Pharmaceuticals Inc.",MA,100000000254,5.59,05/08/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,7.4,07/23/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,4.66,04/29/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,0.92,08/21/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,6.87,07/09/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,31.62,03/05/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Sunovion Pharmaceuticals Inc.",MA,100000000254,14.33,04/21/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,13.56,03/11/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,85.13,07/23/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,14.67,08/01/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,18.79,03/04/2014,GNRL
WENDY,"",WALDMAN,"404 Jefferson St","",Pella,50219,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Jazz Pharmaceuticals Inc.",CA,100000005637,12.03,07/23/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,16.04,09/09/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,137.88,02/07/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Biogen Idec Inc.",MA,100000000193,8.12,05/23/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,22.13,02/24/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,94.03,02/08/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,2500,03/24/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,64.36,02/09/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,116.19,02/08/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,224.09,02/08/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,6.66,08/21/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,44.33,08/26/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,12.12,03/18/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Sunovion Pharmaceuticals Inc.",MA,100000000254,5.59,07/28/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,16.36,04/09/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,76.99,02/08/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,150.15,03/06/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,3000,10/02/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,12.1,04/22/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Biogen Idec Inc.",MA,100000000193,42,01/21/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,8.11,04/23/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Supernus Pharmaceuticals, Inc.",MD,100000011150,0.92,09/10/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,8.27,04/01/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,14.12,06/17/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,1500,08/12/2014,GNRL
WENDY,"",WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Sunovion Pharmaceuticals Inc.",MA,100000000254,2.64,07/21/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,71.94,06/20/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,13.71,02/14/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Cyberonics, Inc.",TX,100000010946,21.47,05/30/2014,GNRL
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314-1548,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Sunovion Pharmaceuticals Inc.",MA,100000000254,5.59,07/02/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,42.3,04/01/2014,GNRL
WENDY,ANNE,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians/ Psychiatry & Neurology/ Neurology",99544,"Allergan Inc.",CA,100000000278,61.74,04/21/2014,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,24.00,11/26/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,14.13,11/22/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,1500.00,11/26/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,1.00,10/15/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,15.48,11/26/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,24.00,12/05/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,14.75,11/26/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,14.56,12/05/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,14.75,12/05/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,1500.00,11/22/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,19.09,11/22/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,1500.00,10/15/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,1500.00,12/05/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,18.45,10/15/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,24.00,10/15/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,22.00,11/22/2013,GNRL
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",97895,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,14.88,10/29/2014,GNRL
