c,p,Clinton,O'Malley,Sanders,Uncommitted,w
Linn,Monroe 2,50,0,50,0,Sanders
Linn,Monroe 1,66.667,0,33.333,0,Clinton
Linn,Marion township,50,0,50,0,Sanders
Linn,Maine,66.667,0,33.333,0,Clinton
Linn,Linn,0,0,100,0,Sanders
Linn,Jackson,50,0,50,0,Sanders
Linn,Bertram,60,0,40,0,Clinton
Linn,Franklin,40,20,40,0,Sanders
Linn,Fayette,50,0,50,0,Sanders
Linn,Fairfax Township,50,0,50,0,Sanders
Linn,College,0,0,100,0,Sanders
Linn,Clinton,100,0,0,0,Clinton
Linn,Buffalo,0,0,100,0,Sanders
Linn,Brown,33.333,0,66.667,0,Sanders
Linn,Cedar Rapids 42,33.333,0,66.667,0,Sanders
Linn,Cedar Rapids 41,50,0,50,0,Sanders
Linn,Cedar Rapids 40,50,0,50,0,Sanders
Linn,Cedar Rapids 39,50,0,50,0,Sanders
Linn,Cedar Rapids 38,40,0,60,0,Sanders
Linn,Cedar Rapids 37,42.857,0,57.143,0,Sanders
Linn,Cedar Rapids 36,57.143,0,42.857,0,Clinton
Linn,Cedar Rapids 35,40,0,60,0,Sanders
Linn,Cedar Rapids 34,40,0,60,0,Sanders
Linn,Cedar Rapids 33,33.333,0,66.667,0,Sanders
Linn,Cedar Rapids 32,40,0,60,0,Sanders
Linn,Cedar Rapids 31,60,0,40,0,Clinton
Linn,Cedar Rapids 30,50,0,50,0,Sanders
Linn,Cedar Rapids 29,50,0,50,0,Sanders
Linn,Cedar Rapids 28,50,0,50,0,Sanders
Linn,Cedar Rapids 27,60,0,40,0,Clinton
Linn,Cedar Rapids 26,42.857,0,57.143,0,Sanders
Linn,Cedar Rapids 25,57.143,0,42.857,0,Clinton
Linn,Cedar Rapids 17,40,0,60,0,Sanders
Linn,Cedar Rapids 18,25,0,75,0,Sanders
Linn,Cedar Rapids 19,50,0,50,0,Sanders
Linn,Cedar Rapids 20,50,0,50,0,Sanders
Linn,Cedar Rapids 21,50,0,50,0,Sanders
Linn,Cedar Rapids 22,33.333,0,66.667,0,Sanders
Linn,Cedar Rapids 23,40,0,60,0,Sanders
Linn,Cedar Rapids 24,50,0,50,0,Sanders
Linn,Mount Vernon South,33.333,0,66.667,0,Sanders
Linn,Robins,50,0,50,0,Sanders
Linn,Washington,60,0,40,0,Clinton
Linn,Spring Grove,100,0,0,0,Clinton
Linn,Cedar Rapids 43,25,0,75,0,Sanders
Linn,Marion 12,50,0,50,0,Sanders
Linn,Marion 11,50,0,50,0,Sanders
Linn,Marion 6,50,0,50,0,Sanders
Linn,Marion 5,50,0,50,0,Sanders
Linn,Marion 4,33.333,0,66.667,0,Sanders
Linn,Marion 3,50,0,50,0,Sanders
Linn,Marion 1,50,0,50,0,Sanders
Linn,Hiawatha4,0,0,100,0,Sanders
Linn,Cedar Rapids 9,50,0,50,0,Sanders
Linn,Cedar Rapids 8,50,0,50,0,Sanders
Linn,Cedar Rapids 7,33.333,0,66.667,0,Sanders
Linn,Cedar Rapids 6,50,0,50,0,Sanders
Linn,Cedar Rapids 4,66.667,0,33.333,0,Clinton
Linn,Cedar Rapids 3,66.667,0,33.333,0,Clinton
Linn,Cedar Rapids 2,50,0,50,0,Sanders
Linn,Cedar Rapids 1,50,0,50,0,Sanders
Linn,Boulder,0,0,100,0,Sanders
Linn,Grant,50,0,50,0,Sanders
