Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Physician_Profile_ID,Category,Total_Amount_of_Payment_USDollars,General,Research
ROY,"",LIDTKE,"1215 BLAIRS FERRY RD","",MARION,52302-3016,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",107860,GNRL,180673.97,63,0
Laurie,L,Fajardo,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","",274203,RSRCH,175206.1,181,1
JONATHAN,"",ARNOLD,"1401 W AGENCY RD","","WEST BURLINGTON",52655-1659,"Medical Doctor","Allopathic & Osteopathic Physicians|Preventive Medicine|Undersea and Hyperbaric Medicine",203369,RSRCH,171524.73,95,3
ROBERT,"",HOYT,"5880 UNIVERSITY AVE","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology",260285,GNRL,161244.7,277,0
TYSON,KING,COBB,"3385 DEXTER CT STE 300","",DAVENPORT,52807,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery",163314,RSRCH,154352.04,109,2
DAVID,W,MERCER,"1351 W CENTRAL PARK AVE","",DAVENPORT,52804-1853,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",189872,GNRL,153016.59,451,0
CHARLES,R,CLARK,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",1116533,GNRL,145837.52,160,0
JERRY,L,ROZEBOOM,"855 A AVE NE","","CEDAR RAPIDS",52402,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",126578,RSRCH,144776.39,131,5
MAGDI,GH,GHALI,"5880 UNIVERSITY AVE","","WEST DES MOINES",50266-8220,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology",184491,GNRL,141822.78,504,0
MICHAEL,J,HOWCROFT,"777 TANGLEFOOT LN","",BETTENDORF,52722,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",313947,GNRL,137070.95,135,0
JOHN,G,SOUTHARD,"1 EDMUNDSON PL","SUITE 312","COUNCIL BLUFFS",51503-4658,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease",232027,GNRL,128366.68,305,0
MICHAEL,S,LEE,"12499 UNIVERSITY AVE","SUITE 210","DES MOINES",50325,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",288857,GNRL,126095.2,116,0
ANTHONY,D,CARTER,"1026 A AVE NE","","CEDAR RAPIDS",52402,"Medical Doctor","Allopathic & Osteopathic Physicians|Emergency Medicine",153292,GNRL,125393.86,63,0
RUSSELL,"",BUCHANAN,"227 E SAN MARNAN DR","SUITE 1",WATERLOO,50702,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",341529,GNRL,124498.07,129,0
MARK,O,CARLSON,"1605 DOUGLAS ST","","SIOUX CITY",51105-1109,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",117573,GNRL,123567.62,479,0
Robert,"",Margeas,"1233 63RD ST.","","Des Moines",50311,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",228964,GNRL,120820.97,65,0
RONALD,"",GROOTERS,"5535 Glen Oaks Point -  -  -","","West Des Moines",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery)",697388,GNRL,119190.39,9,0
ROBERT,"",HIRSCHL,"1111 6TH AVE EAST TOWER SUITE B1","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",131247,GNRL,113243.17,74,0
Bruce,"",Gantz,"200 HAWKINS DR","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",33805,RSRCH,112221.12,111,3
FADI,Y,YACOUB,"543 7TH ST SE","","CEDAR RAPIDS",52401-1929,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",285524,GNRL,101916.16,160,0
DAVID,"",MCALLISTER,"5880 UNIVERSITY AVE","STE 330","WEST DES MOINES",50266,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology",15780,GNRL,95075.47,217,0
KENNETH,LAWRENCE,POLLACK,"6001 WESTOWN PARKWAY","","WEST DES MOINES",50266-7702,"Medical Doctor","Allopathic & Osteopathic Physicians|Pain Medicine|Pain Medicine",304617,RSRCH,92626.02,10,122
MARCOS,A,VARGAS,"322 DENTAL SCIENCE S","","IOWA CITY",52242,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",192510,GNRL,90554.72,45,0
THOMAS,EDWARD,SOUTHARD,"322 DENTAL SCIENCE S","","IOWA CITY",52242,"Doctor of Dentistry","Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics",349053,GNRL,85874.69,32,0
KIRK,K,PETERSON,"305 S HWY 69","",HUXLEY,50124-8095,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",283976,GNRL,84174.24,304,0
GAEL,J,YONNET,"3421 W 9TH ST","",WATERLOO,50702,"Medical Doctor","Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation",233209,GNRL,83223.02,91,0
JEROME,"",GREENFIELD,"1750 48TH ST","SUITE 2","DES MOINES",50310-1988,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",248478,GNRL,77436.31,159,0
ALIREZA,"",YARAHMADI,"1000 4TH ST SW","","Mason City",50401,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology",345740,GNRL,77316.18,125,0
BERNARD,I,LEMAN,"1378 NW 124TH ST","SUITE 200",CLIVE,50325-8151,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",225422,GNRL,77041.65,417,0
KENNETH,S,WAYNE,"1005 PENNSYLVANIA AVE","",OTTUMWA,52501,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",188747,GNRL,74109.58,134,0
ROGER,I,CEILLEY,"6000 UNIVERSITY AVE","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Dermatology|MOHS-Micrographic Surgery",89876,GNRL,72414.64,204,0
DONALD,"",HILLEBRAND,"700 E University Ave","","Des Moines",50316,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",352640,GNRL,71564.66,157,0
BRIAN,"",OLSHANSKY,"4344 MAIER AVE SW","","IOWA CITY",52240,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",88578,RSRCH,70969.36,254,4
ROQUE,"",ARTEAGA,"5885 Sunnybrook Dr","Ste L-200","Sioux City",51106,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",324527,GNRL,70281.98,187,0
STEVEN,R,LENTZ,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology",1054796,GNRL,69555.65,36,0
DOUGLAS,"",LABRECQUE,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hepatology",792096,GNRL,68626.79,116,0
GREGORY,"",BOHN,"4480 Utica Ridge Road","",Bettendorf,52722,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",53386,GNRL,67764.0,55,0
MATTHEW,A,FLEMMING,"250 S CRESCENT DR","","MASON CITY",50401-2926,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology",59461,GNRL,66440.74,187,0
MANMOHAN,"",SINGH,"1801 HICKMAN RD","BROADLAWNS MEDICAL CENTER","DES MOINES",50314-1505,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",54957,GNRL,65273.42,187,0
KATHLEEN,SUE,JONES,"5950 UNIVERSITY AVE","STE 151","WEST DES MOINES",50266-8216,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",251998,RSRCH,64759.81,34,82
ATUL,"",CHAWLA,"5880 UNIVERSITY AVE","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",304552,GNRL,63369.11,159,0
Brent,"",Ludens,"208 Olympic Dr","",Waterloo,50701-5240,"Doctor of Dentistry","Dental Providers|Dentist|Prosthodontics",306739,GNRL,62917.96,107,0
PREM,"",RABINDRANAUTH,"419 E Donald ST","",Waterloo,50703,"Medical Doctor","Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery)",748966,GNRL,62073.63,28,0
DAVID,L,LACEY,"12368 STRATFORD DR","SUITE 300",CLIVE,50325-8162,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology",273764,GNRL,60901.91,61,0
UZODINMA,CHINEDU,EMERENINI,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",41201,GNRL,59586.91,45,0
CHRISTOPHER,ANDREW,BARWACZ,"322 DENTAL SCIENCE S","","IOWA CITY",52242,"Doctor of Dentistry","Dental Providers|Dentist",222476,GNRL,58719.54,98,0
GERALD,M,WAIT,"2710 SAINT FRANCIS DR","SUITE 410",WATERLOO,50702-5619,"Medical Doctor","Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery)",247402,GNRL,57701.05,118,0
NICOLAS,O,NOISEUX,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery",278131,GNRL,57548.58,78,0
STEPHEN,C,ELLIOTT,"1212 PLEASANT ST","SUITE 300","DES MOINES",50309-1453,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology",697204,GNRL,57158.45,86,0
CAROLYN,MARIE,HETTRICH,"200 HAWKINS DR","","IOWA CITY",52242-1007,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",550397,RSRCH,55386.21,26,2
JAMES,A,DAVISON,"309 E CHURCH ST","",MARSHALLTOWN,50158-2946,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",49461,GNRL,55248.32,58,0
GARRY,A,CLARK,"3930 STADIUM DR","","SIOUX CITY",51106,"Medical Doctor","Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine",88834,GNRL,53537.95,86,0
JUN,"",KIMURA,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",794225,GNRL,53310.46,19,0
RONALD,A,IVERSON,"1515 DELHI ST","",DUBUQUE,52001,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",56559,GNRL,53219.23,161,0
ERIC,"",DIPPEL,"1236 E RUSHOLME ST","STE 300",DAVENPORT,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology",3998,GNRL,51050.72,115,0
SATHEESH,"",ELANGOVAN,"322 S. DENTAL SCIENCE BLDG","","IOWA CITY",52242,"Doctor of Dentistry","Dental Providers|Dentist|Periodontics",89708,GNRL,50060.26,5,0
WENDY,A,WALDMAN,"1801 HICKMAN RD","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",99544,GNRL,49608.68,149,0
QASIM,"",CHAUDHRY,"1212 Pleasant St Ste 211","","Des Moines",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",1268775,GNRL,49424.34,88,0
KEVIN,V,DEREGNIER,"60 E COURT ST","",WINTERSET,50273-1517,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",53149,GNRL,49356.38,395,0
THOMAS,W,ROSS,"1000 E ARMY POST RD","","DES MOINES",50315-5939,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",5199,GNRL,49053.49,101,0
BASSAM,G.,WANNA,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",1225348,GNRL,48968.88,119,0
JASON,JONATHAN,JONES,"4405 HAMILTON BLVD","","SIOUX CITY",51104-1140,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",42003,RSRCH,48396.47,101,2
CHAUDRY,"AHMAD WAHEED",CHEEMA,"915 13TH AVE N","",CLINTON,52732-5067,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",347739,GNRL,45040.16,232,0
SIF,"",HANSDOTTIR,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease",1045914,RSRCH,44452.87,12,6
MARTIN,W,CARPENTER,"320 WEST CHERRY STREET","","NORTH LIBERTY",52317,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",24690,GNRL,44449.22,209,0
OMER,JAVAID,IQBAL,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",459778,GNRL,43197.51,86,0
LOYAL,RICHARD,STIERLEN,"1215 DUFF AVE","",AMES,50010,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Surgery",246789,GNRL,42818.5,101,0
LYNN,K,STRUCK,"1221 PLEASANT ST","SUITE 300","DES MOINES",50309-1423,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",34420,RSRCH,41695.93,32,1
LINDA,M,CADARET,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",802474,RSRCH,41465.18,27,5
PAUL,D,DAYTON,"24 N 9TH ST","SUITE A","FORT DODGE",50501,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",252096,GNRL,41301.7,70,0
BRIAN,K,LINK,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",157428,GNRL,40539.4,39,0
Alan,R.,Koslow,"974 73rd Street","Suite 23","Windsor Heights",50324,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",64654,GNRL,39498.76,231,0
NANCY,JEAN,KANE,"PO BOX 1475","","DES MOINES",50305,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",153526,GNRL,39497.98,97,0
BRIAN,R,WOLF,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine",57059,GNRL,39257.97,51,0
TERESA,ANN,SALINO-HUGG,"700 N 3RD ST STE 3","",BURLINGTON,52601,"Doctor of Dentistry","Dental Providers|Dentist",151992,GNRL,38331.71,23,0
MATTHEW,L,WARD,"5075 E UNIVERSITY AVE","","PLEASANT HILL",50327-7001,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",76819,GNRL,38127.28,97,0
DENNIS,M,FRY,"5950 UNIVERSITY AVE","STE 231","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",155519,RSRCH,37875.87,90,7
JAY,P,GINTHER,"4006 JOHNATHAN ST","SUITE B",WATERLOO,50701,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",375218,GNRL,37775.63,149,0
JAFAR,"",GOLZARIAN,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology",321336,GNRL,37768.67,29,0
ERIC,A,BARP,"5950 UNIVERSITY AVE","STE 160","WEST DES MOINES",50266-8216,"Medical Doctor","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",156426,RSRCH,37061.66,47,1
DEVENDRA,G,WADWEKAR,"312 E Main St Ste 1000","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",97895,GNRL,36059.14,94,0
RAMESHKUMAR,"",RAMAN,"4500 UTICA RIDGE RD","STE 140",BETTENDORF,52722,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",333771,GNRL,34959.29,82,0
MAXWELL,S,COSMIC,"1601 NW 114TH ST","",CLIVE,50325,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine",623944,GNRL,34546.32,79,0
KIMBERLY,K,SCHULZ,"1100 6TH ST","",CORALVILLE,52241,"Medical Doctor","Other Service Providers/ Specialist",1304212,GNRL,33970.73,74,0
STEPHEN,BERNARD,GRANT,"4060 WESTOWN PKWY","","WEST DES MOINES",50266,"Medical Doctor","Other Service Providers/ Sleep Specialist, PhD",227068,GNRL,33960.23,127,0
JOHN,"",MEIS,"2114 PIERCE ST","","SIOUX CITY",51104,"Doctor of Dentistry","Dental Providers|Dentist",496888,GNRL,33815.36,26,0
DOUGLAS,ADAM,KHOURY,"1228 E RUSHOLME ST STE 3020","",DAVENPORT,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",66060,GNRL,33668.78,73,0
ALEX,M,HORCHAK,"1500 DELHI ST STE 4300","",DUBUQUE,52001,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",46948,GNRL,33512.15,176,0
MOHIT,"",CHAWLA,"202 10th ST Se","Ste 225","Cedar Rapids",52403,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology",129983,GNRL,32883.98,94,0
CHRISTOPHER,G,OKIISHI,"320 WEST CHERRY STREET","","NORTH LIBERTY",52317,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry",208682,GNRL,32689.47,156,0
CHRISTOPHER,F,STALVEY,"2459 E EUCLID AVE","","DES MOINES",50317,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine",267370,GNRL,32470.39,132,0
JARED,STEVEN,NIELSEN,"6200 WESTOWN PKWY","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",156691,GNRL,32433.57,41,0
MICHAEL,R.K.,JACOBY,"1111 6th Ave Ste A100","","Des Moines",50314,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",333602,RSRCH,30863.85,101,1
JAMES,"",LAMORGESE,"4885 Lakewood Dr","","Cedar Rapids",52411,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",537419,RSRCH,30636.75,1,6
TROY,A,MUNSON,"1111 6TH AVE","SUITE: B1","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",272140,GNRL,30242.08,210,0
CRAIG,"",STARK,"1660 60th St","","West Des Moines",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",328360,GNRL,29351.55,76,0
GUIDO,"",TRICOT,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",275574,GNRL,28699.04,29,0
DOUGLAS,R,HOISINGTON,"1455 29th St","","West Des Moines",50266,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Otolaryngology",189235,GNRL,28697.84,104,0
CHRISTINE,W,SINDT,"200 HAWKINS DR","","IOWA CITY",52242,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",242840,GNRL,28423.57,60,0
ARI,"",AURON,"1200 Pleasant St","","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Pediatrics",493797,GNRL,28389.09,49,0
DOUGLAS,W,MASSOP,"5950 UNIVERSITY AVE STE 250","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",253694,GNRL,27961.41,96,0
BRETT,"",LOCKMAN,"4550 E 53RD ST","SUITE 100",DAVENPORT,52807-3171,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Pain Medicine|Pain Medicine",12,GNRL,27440.9,156,0
JANICE,"MARIE ROSE",STABER,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology",45798,GNRL,26990.06,20,0
JENNIFER,S,KAY,"210 RIDGE RD N STE 201","","COUNCIL BLUFFS",51503,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",260479,RSRCH,26905.56,81,9
BRYAN,A,WARME,"1215 DUFF AVENUE","MCFARLAND CLINIC PC",AMES,50010-3014,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",1091948,GNRL,26659.32,44,0
TIMOTHY,J,MILLER,"3400 DEXTER CT","",DAVENPORT,52807-3461,"Medical Doctor","Allopathic & Osteopathic Physicians|Pain Medicine|Pain Medicine",147516,GNRL,26566.81,86,0
ERIC,R,BARLOW,"2500 82ND PL","",URBANDALE,50322-4329,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",251196,GNRL,26307.48,205,0
Timothy,"",Ryken,"200 HAWKINS DR","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",9891,GNRL,25183.33,41,0
CRAIG,B,CLARK,"1301 PENN AVE","SUITE 100","DES MOINES",50316,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",216957,GNRL,25167.08,23,0
SANDEEP,"",MUNJAL,"202 10TH STREET SE","","CEDAR RAPIDS",52403-2404,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery",191543,GNRL,24699.62,55,0
MATTHEW,J,BOLLIER,"2701 PRAIRIE MEADOW DR","","IOWA CITY",52242-8001,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",986829,GNRL,23953.06,18,0
DAVID,MICHAEL,LAWRENCE,"202 10TH STREET SE","","CEDAR RAPIDS",52403-2404,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",48975,GNRL,23682.64,101,0
JAMES,C,MEYER,"800 KENYON RD","","FORT DODGE",50501-5776,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease",48397,GNRL,23604.45,149,0
MATT,AARON,MORGAN,"404 JEFFERSON ST","",PELLA,50219,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Surgery",292104,GNRL,23469.22,70,0
JAE,H,KIM,"2222 53RD AVENUE","GASTROENTEROLOGY ASSOCIATES PC",BETTENDORF,52722,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",38765,GNRL,23455.62,279,0
ARCHANA,T,LAROIA,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Body Imaging",1091363,GNRL,23446.07,22,0
MARK,D,FISH,"12499 UNIVERSITY AVE","STE 210",CLIVE,50325-8288,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",114928,GNRL,23403.9,90,0
