Casey's Location,County,County # (See Map),Walmart in town?,Title X Agency & Clinic (Nearby ?),Title X Satellite Clinic,Satellite Clinic with Referral for Physical Examination
Arnold's Park,Dickinson,3,,,,
Milford,Dickinson,3,,,,
Okoboji,Dickinson,3,,,,
Spirit Lake,Dickinson,3,,,,
Dubuque,Dubuque,31,YES,Hillcrest Family Services Clinic,,
Dyersville,Dubuque,31,,,,
Farley,Dubuque,31,,,,
Peosta ,Dubuque,31,,,,
Armstrong,Emmet,4,,,,
Estherville,Emmet,4,,,,
Clermont,Fayette,13,,,,
West Union,Fayette,13,,,,
Fairbank,Fayette,13,,,,
Maynard,Fayette,13,,,,
Oelwein,Fayette,13,,,,
Sumner,Fayette,13,,,,
Charles City,Floyd,15,,,,"Allison, IA (40 minutes away)"
Ackley,Franklin,28,,,,
Hampton,Franklin,28,,,Franklin County Public Health Nursing,
Sheffield,Franklin,28,,,,
Hamburg,Fremont,89,,,,
Tabor,Fremont,89,,,,
Sidney,Fremont,89,,,,
Grand Junction,Greene,46,,,,
Jefferson,Greene,46,,,,
Scranton,Greene,46,,,,
Conrad,Grundy,35,,,,
Grundy Center,Grundy,35,,,,
Reinbeck,Grundy,35,,,,
Adair,Guthrie,63,,,,
Guthrie Center,Guthrie,63,,,,
Panora,Guthrie,63,,New Opportunities (55 minutes away),,
Stuart,Guthrie,63,,New Opportunities (20 minutes away),,
Jewell,Hamilton,37,,,,
Webster City,Hamilton,37,,,,
Garner,Hancock,17,,,,
Britt,Hancock,17,,,,Garner Area Education Center (15 minutes away)
Alden,Hardin,36,,,,
Eldora,Hardin,36,,,,
Hubbard,Hardin,36,,,,
Iowa Falls,Hardin,36,YES,,,
Missouri Valley,Harrison,66,,,"Logan, IA (10 minutes away)",
Woodbine,Harrison,66,,,Woodbine Clinic,
Winfield,Henry,79,,,Mount Pleasant (20 minutes away),
Cresco,Howard,9,,,,
Lime Springs,Howard,9,,,,
Riceville,Howard,9,,,,
Humboldt,Humboldt,26,,,,
Holstein,Ida,41,,,,
Amana,Iowa,58,,,,
Marengo,Iowa,58,,,,
North English,Iowa,58,,,,
Victor,Iowa,58,,,,
Williamsburg,Iowa,58,,,,
Bellevue,Jackson,54,,,,
Maquoketa,Jackson,54,,,,
Colfax,Jasper,60,,,,
Mitchellville,Jasper,60,,,,
Monroe,Jasper,60,,,,
Newton,Jasper,60,YES,,Planned Parenthood of the Heartland - Knoxville (35 minutes away,
Prairie City,Jasper,60,,,,
Sully,Jasper,60,,,,
Fairfield,Jefferson,80,YES,,Jefferson County Public Health Nursing - Fairfield Clinic,
Coralville,Johnson,57,YES,,,
Hills,Johnson,57,,,,
Iowa City,Johnson,57,YES,,Planned Parenthood of the Heartland,
North Liberty,Johnson,57,,,,
Solon,Johnson,57,,,,
Tiffin,Johnson,57,,,,
Anamosa,Jones,53,YES,,Anamosa Family Medicine,
Cascade,Jones,53,,,,
Monticello,Jones,53,,,Monticello Family Medicine,
Wyoming,Jones,53,,,,
What Cheer,Keokuk,74,,,,
Sigourney,Keokuk,74,,,Jefferson County Public Health Nursing - Fairfield (45 minutes),
Algona,Kossuth,5,,,Algona Clinic,
Donnellson,Lee,98,,,,
Fort Madison,Lee,98,,,North Lee County Clinic,
Keokuk,Lee,98,YES,,South Lee County Clinic,
Montrose,Lee,98,,,,
Lisbon,Linn,52,,,,
Marion,Linn,52,YES,,,
Ely,Linn,52,,,,
Cedar Rapids,Linn,52,YES,,"Community Free Clinic, St. Luke's Family Health Center",
Center Point,Linn,52,,,,
Coggon,Linn,52,,,,
Fairfax,Linn,52,,,,
Hiawatha,Linn,52,,,,
Mount Vernon,Linn,52,,,Mount Vernon Family Medicine,
Springville,Linn,52,,,,
Walker,Linn,52,,,,
Morning Sun,Louisa,78,,,,
Columbus Junction,Louisa,78,,,,
Wapello,Louisa,78,,,Louisa County Clinic,
Chariton,Lucas,83,,,Lucas County Public Health Nursing - Chariton Clinic,
George,Lyon,1,,,,
Rock Rapids,Lyon,1,,,,
St. Charles,Madison,70,,,,
Winterset,Madison,70,,,,
Fremont,Mahaska,73,,,,
New Sharon,Mahaska,73,,,,
Oskaloosa,Mahaska,73,YES,,Mahaska County Public Health Nursing - Oskaloosa Clinic,
Knoxville,Marion,72,YES,,Planned Parenthood of the Heartland - Knoxville Center,
Melcher-Dallas,Marion,72,,,,
Pella,Marion,72,YES,,,
Pleasantville,Marion,72,,,,
Albion,Marshall,49,,,,
Marshalltown,Marshall,49,YES,Central Iowa Family Planning,,
State Center,Marshall,49,,,,
Glenwood,Mills,88,,,,
Malvern,Mills,88,,,,
Osage,Mitchell,8,,,,Osage Clinic
Mapleton,Monona,43,,,,
Onawa,Monona,43,,,Burgees Health Center,
Albia,Monroe,82,,,Albia Clinic,
Eddyville,Monroe,82,,,"Albia, IA (20 minutes away)",
Lovilia,Monroe,82,,,"Albia, IA (15 minutes away)",
Stanton,Montgomery,87,,,,
Red Oak,Montgomery,87,,,,
Villisca,Montgomery,87,,,,
Durant,Muscatine,76,,"Muscatine, IA (25 minutes away)",,
Muscatine,Muscatine,76,YES,Trinity Public Health,,
Nichols,Muscatine,76,,"Muscatine, IA (20-25 minutes away)",,
Walcott,Muscatine,76,,"Muscatine, IA (30 minutes away)",,
West Liberty,Muscatine,76,,"Muscatine, IA (30 minutes away)",,
Wilton,Muscatine,76,,"Muscatine, IA (20 minutes away)",,
Paullina,O'Brien,20,,,,
Sanborn,O'Brien,20,,,,
Sheldon,O'Brien,20,,,,
Sibley,Osceola,2,,,,
Clarinda,Page,90,,,,
Essex,Page,90,,,,
Emmetsburg,Palo Alto,18,,,,
West Bend,Palo Alto,18,,,,
Akron,Plymouth,22,,,"Sioux City, IA (40 minutes away)",
Merrill,Plymouth,22,,,"Sioux City, IA (25 minutes away)",
Fonda,Pocahontas,25,,"Carroll, IA (50 minutes away)",,
Gilmore City,Pocahontas,25,,"Carroll, IA (80 minutes away)",,
Laurens,Pocahontas,25,,"Carroll, IA (70 minutes away)",,
Pocahontas,Pocahontas,25,,"Carroll, IA (70 minutes away)",,
Altoona,Polk,61,,,,
Ankeny,Polk,61,YES,,,
Des Moines,Polk,61,YES,,,
Johnston,Polk,61,,,,
Norwalk,Polk,61,,,,
Bondurant,Polk,61,,,,
Pleasant Hill,Polk,61,,,,
Polk City,Polk,61,,,,
Runnells,Polk,61,,,,
Urbandale,Polk,61,,,,
West Des Moines,Polk,61,YES,,,
Minden,Pottawattamie,67,,,,
Avoca,Pottawattamie,67,,,"Council Bluffs, IA (40 minutes away)",
Council Bluffs,Pottawattamie,67,YES,,Planned Parenthood of the Heartland - Council Bluffs Center,
Crescent,Pottawattamie,67,,,"Council Bluffs, IA (15 minutes away)",
Oakland,Pottawattamie,67,,,"Council Bluffs, IA (35 minutes away)",
Treynor,Pottawattamie,67,,,"Council Bluffs, IA (20 minutes away)",
Brooklyn,Poweshiek,59,,,"Oskaloosa, IA (50 minutes away)",
Grinnell,Poweshiek,59,YES,,"Oskaloosa, IA (45 minutes away)",
Montezuma,Poweshiek,59,,,"Oskaloosa, IA (35 minutes away)",
Mt. Ayr,Ringgold,92,,,,
Early,Sac,40,,,,
Sac City,Sac,40,,,,
Bettendorf,Scott,77,,"Davenport, IA (15-20 minutes away)",,
Blue Grass,Scott,77,,"Davenport, IA (15-20 minutes away)",,
Buffalo,Scott,77,,"Davenport, IA (15-20 minutes away)",,
Davenport,Scott,77,YES,Edgerton Women's Health Center,,
Eldridge,Scott,77,,"Davenport, IA (20 minutes away)",,
Le Claire,Scott,77,,"Davenport, IA (25 minutes away)",,
Princeton,Scott,77,,"Davenport, IA (30 minutes away)",,
Harlan,Shelby,65,,,Myrtue Medical Center - Harlan Clinic,
Alton,Sioux,21,,,,
Hawarden,Sioux,21,,,,
Hull,Sioux,21,,,,
Orange City,Sioux,21,,,,
Sioux Center,Sioux,21,YES,,,
Ames,Story,48,YES,,Planned Parenthood of the Heartland - Ames Center,
Colo,Story,48,,,"Ames, IA (20-25 minutes away)",
Gilbert,Story,48,,,"Ames, IA (10-15 minutes away)",
Huxley ,Story,48,,,"Ames, IA (20 minutes away); Des Moines/Ankeny, IA (20-30 minutes away)",
Slater,Story,48,,,,
Maxwell,Story,48,,,"Ames, IA (25 minutes away); Des Moines/Ankeny, IA (20-30 minutes away)",
Nevada,Story,48,,,"Ames, IA (15 minutes away)",
Roland,Story,48,,,"Ames, IA (20 minutes away) ",
Story City,Story,48,,,"Ames, IA (20 minutes away)",
Dysart,Tama,50,,,"Toledo, IA (30-35 minutes away)",
Gladbrook,Tama,50,,,"Toledo, IA (25 minutes away)",
Tama,Tama,50,,,"Toledo, IA (10 minutes away)",
Toledo,Tama,50,,,Toledo Clinic,
Bedford,Taylor,91,,,,
Lenox,Taylor,91,,,,
Afton,Union,85,,,,
Creston,Union,85,YES,,,
Farmington,Van Buren,97,,,"Keosauqua, IA (20 minutes away)",
Eldon,Wapello,81,,"Ottumwa, IA (20 minutes away)",,
Ottumwa,Wapello,81,YES,"Southern Iowa Family Planning, Inc.",,
Carlisle,Warren,71,,,"Des Moines/Ankeny, IA (30-40 minutes away)",
Indianola,Warren,71,YES,,"Des Moines/Ankeny, IA (30-45 minutes away)",
Milo,Warren,71,,,"Des Moines/Ankeny, IA (40-50 mInutes away)",
Ainsworth,Washington,75,,,,
Kalona,Washington,75,,,"Washington, IA (20 minutes away)",
Washington,Washington,75,YES,,Washington County Clinic,
Wellman,Washington,75,,,"Washington, IA (25 minutes away)",
Corydon,Wayne,94,,,Wayne County Public Health Nursing,
Humeston,Wayne,94,,,"Corydon, IA (20 minutes away)",
Seymour,Wayne,94,,,"Corydon, IA (20 minutes away)",
Dayton,Webster,38,,,,
Fort Dodge,Webster,38,YES,,,
Gowrie,Webster,38,,,,
Buffalo Center,Winnebago,6,,,,"Forest City, IA (30 minutes away)"
Forest City,Winnebago,6,,,,Forest City Clinic
Lake Mills,Winnebago,6,,,,"Forest City, IA (20 minutes away)"
Decorah,Winneshiek,10,YES,Northeast Iowa Community Action Corp.,,
Ossian,Winneshiek,10,,"Decorah, IA (20 minutes away)",,
Sergeant Bluff,Woodbury,42,,,,
Correctionville,Woodbury,42,,,"Sioux City, IA (45 minutes away)",
Moville,Woodbury,42,,,"Sioux City, IA (30 minutes away)",
Sioux City,Woodbury,42,YES,,Planned Parenthood of the Heartland,
Sloan,Woodbury,42,,,"Sioux City, IA (30 minutes away)",
Northwood,Worth,7,,,,
Manly,Worth,7,,,,
Belmond,Wright,27,,,,
Clarion,Wright,27,,,,
Dows,Wright,27,,,,
Eagle Grove,Wright,27,,,,
Goldfield,Wright,27,,,,
