county,population,2011-2015,2010-2014,2009-2013,2008-2012,2007-2011,2006-2010,2005-2009,2004-2008,2003-2007
Cherokee,11982,32.7868852459,32.7074500303,29.2362768496,29.1545189504,31.3568985177,32.0584926884,31.2843029638,32.7176781003,32.3741007194
Chickasaw,12329,13.1940626718,15.9574468085,17.277486911,18.7012987013,20.9825997953,21.4677983025,20.8131655373,22.3776223776,21.2958767558
Clarke,9284,42.1286031042,43.3186490455,49.1329479769,54.3401552576,60.4586518416,54.5454545455,53.841103086,49.9040307102,50.2793296089
Clay,16555,25.3914515446,28.1690140845,32.599491956,37.1287128713,34.6613545817,32.5455249903,33.7248957939,29.9556213018,26.7301354815
Clayton,17900,17.1807887544,17.4044646235,16.0583941606,20.4802259887,19.2373754723,19.5747553156,18.7870797627,17.9621162639,16.1655350792
Clinton,48663,34.3717816684,37.8199414237,38.5002516356,41.3691209062,44.5038910506,46.6489874638,44.9558788457,43.581241118,42.3368022706
Crawford,17259,34.5614607108,40.1541920977,40.7254215717,41.4294750158,40.0124069479,37.1724558196,32.4791418355,34.422403734,34.333525678
Dallas,72124,13.7337483977,14.9514563107,16.2034663111,17.9531283595,19.056261343,22.2725107194,24.3183492999,25.9642046887,25.9033803911
Davis,8765,15.6675749319,17.4337517434,21.4899713467,24.1228070175,29.0486564996,27.5162925416,28.1182408075,26.1669024045,24.6913580247
Decatur,8286,23.1930960086,24.4964616222,26.9082921472,25.9381898455,25.2010723861,27.8947368421,27.1377368152,25.7808626673,27.1449345613
Delaware,17578,14.880952381,17.8339818418,19.3174500966,21.7809096733,24.5901639344,25.2651278852,24.6609124538,23.0582524272,21.2514757969
Des Moines,40265,36.0173160173,37.7131048734,41.567695962,43.9872888443,48.3265306122,50.2304879987,49.0043559428,50.1983521514,47.6047904192
Dickinson,16877,17.8571428571,21.8253968254,23.2117479867,25.1121076233,25.8397932817,26.9374222959,25.3827558421,23.8576627578,22.131147541
Dubuque,95166,19.2755266456,20.9727533461,23.310991162,25.7043703312,27.1716995404,27.5413983441,27.5500910747,26.904302418,26.1441615153
Emmet,10068,28.901734104,29.3225480283,28.6825473991,29.0806754221,27.9405137449,29.6460176991,27.5831873905,26.2123197903,22.8645383952
Fayette,20693,21.5541690301,23.8359201774,24.6507806081,28.5171102662,29.579375848,31.6455696203,31.5642458101,29.2479108635,27.0419426049
Floyd,16153,23.5017626322,27.4343122102,30.5019305019,33.0642060746,35.1547573558,36.231884058,35.6195528609,36.4447750093,34.6336128327
Franklin,10572,29.5930949445,36.2756952842,33.8882282996,37.5894988067,37.170263789,39.6583282489,38.6266094421,40.2684563758,40.6599882145
Fremont,7200,32.3846908734,34.155597723,39.3626991565,42.0017873101,44.1051738762,37.985136251,33.4661354582,24.9621785174,18.4094256259
Greene,9232,30.0279329609,38.8143966126,45.197740113,38.9700765484,35.2542372881,33.7381916329,28.8335517693,27.2151898734,30.3217821782
Grundy,12403,9.12996777658,10.0369783413,12.8468653649,15.2207001522,15.9045725646,17.1652770966,18.0224062348,14.7275405007,11.6448326055
Guthrie,10794,21.5252152522,18.281535649,21.4925373134,20.3016241299,16.2130862768,15.725101922,16.8311085316,16.7436489607,20.6303724928
Hamilton,15363,24.7131509267,24.7459125055,28.0087527352,33.7606837607,35.1239669421,38.6608210442,38.9961389961,34.4958301744,30.7461567304
Hancock,11175,12.2878876536,12.6002290951,15.2198421646,15.538290788,24.0305843801,28.2666666667,30.318602261,28.134254689,31.2049927988
Hardin,17406,22.3048327138,24.0029542097,23.5081374322,27.2469922151,28.7296642437,30.7062436029,30.4144385027,31.3009455494,31.190324634
Harrison,14600,20.7972270364,20.8246563932,20.1450443191,24.9318270354,26.6362252664,24.4177310293,23.5338064998,21.2053571429,14.6176911544
Henry,20197,23.9631336406,26.8374504422,26.1780104712,31.0848616724,34.7264904733,33.2929782082,33.7978061073,33.0530588576,27.8567367823
Howard,9529,12.6050420168,15.0684931507,16.6777851901,24.659312135,25.9493670886,31.6967060286,30.7599517491,27.1386430678,19.6078431373
Humboldt,9731,14.2551674982,16.8776371308,25.8199581298,30.9278350515,32.9079919409,36.3756613757,37.5318066158,33.7146297411,33.8885697875
Ida,7085,22.3300970874,23.0547550432,26.2910798122,27.8293135436,25.3623188406,27.409372237,27.801179444,25.8690379951,25.4433307633
Iowa,16316,15.3042179918,13.8181818182,15.8045977011,18.525115782,19.4897236003,20.6258890469,20.5331412104,19.0058479532,17.7975528365
Jackson,19656,21.7245989305,21.7320791437,24.9143568982,24.6913580247,23.5017626322,26.863084922,28.0400572246,27.1506144613,26.7653758542
Jasper,36715,27.8360343184,28.9115646259,30.6179254036,31.922655965,30.9869245925,30.2437288739,31.9298245614,33.1068130336,33.2414743369
Jefferson,17102,22.8438228438,22.4977043159,25.939177102,26.2823230182,28.8032454361,29.7527047913,30.7467057101,25.8407079646,24.7175141243
Johnson,136802,7.81223917471,8.61569896135,9.0367562445,10.0559782791,10.7402511566,10.7418378308,10.5031285915,10.6074602618,9.79110189762
Jones,20607,14.1843971631,14.6666666667,14.939915557,23.0066183423,25.1162790698,27.3805902038,28.5114045618,31.727027836,27.00270027
Keokuk,10361,25.9099321407,29.2014302741,28.1285878301,25.0138966092,24.2557883131,19.3584070796,20.7050923335,27.027027027,29.9604296213
Kossuth,15347,11.7498950902,11.7647058824,13.3910988578,15.7752981916,16.578749058,18.9450222883,18.1225081551,18.3615819209,17.4418604651
Lee,35552,40.7463823305,42.0796708435,44.9024659551,46.8608648453,47.7207977208,49.4544174586,48.5555168813,45.399828031,41.7946093483
Linn,214927,18.6567164179,20.7201657613,23.5051661236,26.0409452309,27.567041823,29.082900384,30.1427201116,29.4731195613,28.8906478324
Louisa,11305,26.9151138716,27.7349768875,34.5352971051,37.9939209726,43.3266932271,44.3786982249,50.8308895406,45.8984375,39.8832684825
Lucas,8785,27.0072992701,32.8102710414,33.2871012483,34.1064120055,41.8326693227,42.7841634738,36.1298224127,35.4567307692,34.4213649852
Lyon,11680,18.9764232317,16.6858457998,16.9014084507,16.2778079219,14.0625,11.0943015633,10.7369448511,9.6015362458,6.20229007634
Madison,15629,16.9158143194,18.2481751825,18.1593066447,22.2313709345,23.3798195242,25.7352941176,26.1117911057,28.618152085,28.3018867925
Mahaska,22420,21.8654857459,24.5057087162,27.3008725021,25.5833567613,32.2670375522,38.0613362541,40.4608788853,39.2670157068,42.1377183967
Marion,33308,13.9079932753,15.0845649855,17.0694864048,18.3513838748,21.0368144252,22.3455308938,23.791597651,23.5471698113,22.6039783002
Marshall,40922,43.0359937402,46.9512195122,49.6903790968,53.63061163,54.2682926829,58.4304584305,60.9639323332,63.5354672672,63.9506573608
Mills,14946,23.0891719745,23.0341540905,25.9688373951,28.5026093938,25.9004451639,27.3469387755,26.2402624026,22.2039473684,17.8719866999
Mitchell,10744,10.4683195592,11.4691425451,11.8025751073,9.92167101828,9.75860297894,12.1642169285,13.5270541082,14.5655449523,16.8453292496
Monona,9149,17.1769977595,18.922852984,18.8405797101,21.3219616205,21.954674221,24.5487364621,23.3236151603,28.9435600579,31.8922749823
Monroe,8019,27.9776179057,31.5627405697,33.033033033,43.1818181818,41.958041958,47.811993517,44.3886097152,44.6880269815,37.2516556291
Montgomery,10549,37.2066399542,40.7009609949,38.1593714927,36.4640883978,37.0572207084,32.8486806677,31.3829787234,33.7374802319,31.8302387268
Muscatine,42857,35.6985456148,37.6281112738,40.8927285817,45.1202263083,47.546225497,50.4714364947,52.727527696,53.7757437071,52.9927007299
Obrien,42857,18.8305252725,26.58788774,27.8177458034,31.3376987839,34.5611641655,33.2299512627,30.482641829,32.0987654321,30.2668259658
Osceola,6279,32.992036405,29.6052631579,27.9792746114,23.0326295585,20.6278026906,20.1850294365,18.1674565561,21.0684725357,23.3747260774
Page,15737,35.4978354978,37.3355960967,44.948630137,46.7209601372,44.8717948718,41.9491525424,41.3502109705,32.4568611339,30.6698950767
Palo Alto,9263,15.3964588145,18.9393939394,20.0860832138,21.0027100271,20.618556701,19.0067443286,18.7025131502,18.8679245283,14.6149522203
Plymouth,24899,16.3820950623,15.3247941446,16.2026471931,16.3785259327,17.2727272727,18.7697874265,20.3022783668,19.8971607422,19.5346795435
Pocahontas,7191,17.4418604651,18.9035916824,21.1202938476,24.2005185825,29.886914378,31.0370931113,31.4465408805,27.5590551181,25.3485424588
Polk,445136,25.2879744149,27.8355692661,31.5954618748,34.9191916229,38.947758429,41.1362440821,42.7102961227,42.4523891157,42.8861337477
Pottawattamie,93153,30.9769140472,34.5426476264,37.5628700579,39.3914525598,40.9727895431,41.8162352793,39.5069532238,36.7958525637,35.8880394263
Poweshiek,18765,12.75,15.4267230654,16.6542381307,19.0170412448,20.4978038067,18.1290790428,17.5313906657,17.5029171529,16.724738676
Ringgold,5082,20.6611570248,18.8679245283,20,23.7780713342,26.9541778976,33.3333333333,45.2554744526,46.7153284672,56.5770862801
Sac,10162,19.6326789107,19.7956577267,16.7850225952,15.1815181518,16.5782493369,16.9823644677,17.26342711,18.0236171535,22.7136879857
Scott,168714,29.7893042925,32.3628219485,37.6015129603,39.3532978137,41.6,43.037063692,44.1821488428,43.3310765064,43.2374486332
Shelby,12034,16.1616161616,15.444015444,15.4566744731,18.7300137049,17.6950998185,18.9616252822,18.7471422039,18.7643020595,15.5606407323
Sioux,34261,14.2505505895,15.712245163,15.6715451366,16.8836190231,17.1908824653,17.6200521156,17.5903614458,17.7250851039,16.5156554651
Story,91939,4.45302648172,4.8628989416,5.82290063636,7.07837070317,8.50955197209,9.04470669308,9.34132777198,8.63322027926,7.63528210592
Tama,17568,28.4471218206,29.5167045086,33.0339961514,34.076433121,38.1222432262,37.4449339207,40.6940063091,38.7035871617,39.1167192429
Taylor,6225,28.6298568507,29.4416243655,27.5319567355,25.1937984496,28.2101167315,30.0096805421,28.4360189573,23.9923224568,20.7939508507
Union,12554,26.353617633,30.0937345831,36.5853658537,41.7525773196,41.6238437821,38.8151174668,40.3679100664,34.9544072948,34.5704117946
Van Buren,7487,14.1911069063,20.4271123491,27.4977085243,27.902790279,28.4482758621,31.0663308144,31.914893617,32.131661442,31.5142198309
Wapello,35406,38.2153958676,41.9928825623,47.4628926476,51.2820512821,54.7512065235,56.1594202899,55.1974880185,53.2338308458,52.4908057506
Warren,47058,17.3291454565,18.4115916767,19.5321121165,20.1297248938,19.5634965509,20.0964630225,20.6554350335,20.8357448779,20.9986000933
Washington,21906,23.842528417,23.0427540255,24.6153846154,25.298465037,25.0648228176,30.4701102728,31.8062445287,29.5927336654,29.7897196262
Wayne,6385,24.0837696335,27.027027027,26.7765190525,33.2661290323,41.2979351032,43.7262357414,45.9558823529,50.8771929825,44.9533502969
Webster,37399,26.6581018147,26.8979786726,30.7501164777,34.7879157766,37.1035308199,39.4154118689,42.7501101807,42.5155004429,40.3022670025
Winnebago,10645,18.8560653677,20.6378986867,21.0649502633,24.7311827957,22.8061477442,25.5357957136,24.7651579846,22.2408728493,17.5438596491
Winneshiek,20957,6.53846153846,5.93415007657,6.65905631659,7.18880060537,6.96405044231,7.27611940299,7.52017608217,7.76173285199,7.10858361471
Woodbury,102372,34.3547404001,38.4699813412,42.3523064473,46.0955026172,47.2194189196,50.0238714127,50.1334757074,49.7028633171,50.1094091904
Worth,7567,13.6778115502,14.5371078806,17.2684458399,18.3706070288,23.102310231,25.7731958763,23.8726790451,26.6193433895,28.2186948854
Wright,13007,27.7149321267,27.6056338028,36.2520914668,44.9377368706,51.9480519481,54.0674603175,52.8338136407,51.5320334262,46.2585034014
