Board/Commission,Member Name,City,County,Position,Term Begin,Term End↓,Gender,Party,Status
"Asian and Pacific Islander Affairs, Commission of",Jo Matibag,Ames,STORY,Member,2016-05-01,2020-04-30,Female,None,A
"Asian and Pacific Islander Affairs, Commission of",Benjamin Jung,West Des Moines,POLK,Member,2016-05-11,2020-04-30,Male,Rep,A
"Asian and Pacific Islander Affairs, Commission of",PEGGY LA,SIOUX CITY,IOWA,Member,2016-05-01,2020-04-30,Female,None,A
"Athletic Training, Board of",Josh Hamann,Storm Lake,BUENA VISTA,Physician,2014-05-01,2017-04-30,Male,Rep,A
"Athletic Training, Board of",Pamela Davis,Bettendorf,SCOTT,Physician,2014-05-01,2017-04-30,Female,Rep,A
"Athletic Training, Board of",Susan Theisen,Dyersville,DUBUQUE,Licensed Athletic Trainer,2014-05-01,2017-04-30,Female,None,A
"Athletic Training, Board of",Rita Perea,Des Moines,POLK,Public Member,2015-05-01,2018-04-30,Female,Rep,A
"Athletic Training, Board of",Thomas Green,Clive,POLK,Physician,2015-05-01,2018-04-30,Male,Rep,A
"Athletic Training, Board of",Christopher Kamm,Dubuque,DUBUQUE,Licensed Athletic Trainer,2016-05-01,2019-04-30,Male,None,A
"Athletic Training, Board of",Chris Wiedmann,Des Moines,POLK,Licensed Athletic Trainer,2016-05-01,2019-04-30,Male,None,A
"Autism Council, Iowa",Vacant,,,Insurance Industry Representative,2010-05-01,2013-04-30,Male,None,V
"Autism Council, Iowa",Jeffrey D Jennings,ankeny,POLK,Family Member of Person with Autism,2014-05-01,2017-04-30,Male,Dem,A
"Autism Council, Iowa",Angela Logsdon,Urbandale,POLK,Family Member of Person with Autism,2014-05-01,2017-04-30,Female,Rep,A
"Autism Council, Iowa",Rachel Heiss,WEST DES MOINES,POLK,Family Member of Person with Autism,2014-05-01,2017-04-30,Female,Rep,A
"Autism Council, Iowa",Jan Turbes,SIOUX CITY,WOODBURY,Research,2014-05-01,2017-04-30,Female,Rep,A
"Autism Council, Iowa",Steven Muller,ALTOONA,POLK,Residential Service Provider,2015-05-01,2018-04-30,Male,None,A
"Autism Council, Iowa",Theresa Croonquist,West Des Moiens,POLK,Insurance Industry Representative,2015-05-01,2018-04-30,Female,None,A
"Autism Council, Iowa",Jenny Phan,Ankeny,POLK,Family Member of Person with Autism,2015-05-01,2018-04-30,Female,Rep,A
"Autism Council, Iowa",Erika Hertel,Homestead,IOWA,Family Member of Person with Autism,2015-05-01,2018-04-30,Female,Dem,A
"Autism Council, Iowa",Brandon Arkland,webster city,HAMILTON,Person with Autism,2015-05-01,2018-04-30,Male,Rep,A
"Autism Council, Iowa",James Curry,Des Moines,POLK,Family Member of Person with Autism,2016-05-01,2019-04-30,Male,None,A
"Autism Council, Iowa",James Paprocki,Boone,BOONE,Mental Health Professional,2016-05-01,2019-04-30,Male,Dem,A
"Autism Council, Iowa",Matthew O'Brien,Bettendorf,SCOTT,Service Provider,2016-05-01,2019-04-30,Male,None,A
"Banking Council, State",Barbara Miller,MAQUOKETA,JACKSON,Banking Executive,2013-05-01,2017-04-30,Female,Rep,A
"Banking Council, State",Peggy (Peg) Scott,Fontanelle,ADAIR,Banking Executive,2013-05-01,2017-04-30,Female,Rep,A
"Banking Council, State",Glenn Rowe,Lorimor,UNION,Public Member,2014-05-01,2018-04-30,Male,Dem,A
"Banking Council, State",Kevin Kness,Albia,MONROE,Banking Executive,2015-05-01,2019-04-30,Male,Rep,A
"Banking Council, State",Gina Sitzmann,SIOUX CITY,WOODBURY,Banking Executive,2016-06-23,2020-04-30,Female,Dem,A
"Banking Council, State",Surasee Rodari,DES MOINES,POLK,Banking Executive,2016-06-23,2020-04-30,Male,None,A
"Barbering, Board of",Terry Moll,Des Moines,POLK,Licensed Barber,2016-05-01,2017-04-30,Male,Rep,A
"Barbering, Board of",John Anderson,NEVADA,STORY,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Barbering, Board of",Valerie Felton,DAVENPORT,SCOTT,Licensed Barber,2016-05-01,2018-04-30,Female,Rep,A
"Barbering, Board of",Rebecca Brockmann,Hartley,OBRIEN,Public Member,2016-05-01,2018-04-30,Female,Dem,A
"Barbering, Board of",daniel butler,Waterloo,BLACK HAWK,Licensed Barber,2016-05-01,2019-04-30,Male,Dem,A
"Behavioral Science, Board of",Vacant,,,Marriage & Family Therapist,2009-05-01,2012-04-30,Male,None,V
"Behavioral Science, Board of",Donald Gilbert,Bondurant,POLK,Mental Health Counselor/Education,2014-05-01,2017-04-30,Male,Rep,A
"Behavioral Science, Board of",Sherill Whisenand,DES MOINES,POLK,Public Member,2014-05-01,2017-04-30,Female,Rep,A
"Behavioral Science, Board of",Jeff Kerber,Johnston,POLK,Marriage & Family Therapist,2014-05-01,2017-04-30,Male,Rep,A
"Behavioral Science, Board of",Wade Leuwerke,INDIANOLA,WARREN,Public Member,2015-05-01,2018-04-30,Male,None,A
"Behavioral Science, Board of",Amy Crow Sunleaf,DUBUQUE,DUBUQUE,Mental Health Counselor,2015-05-01,2018-04-30,Female,None,A
"Behavioral Science, Board of",Erik Oostenink,Urbandale,DALLAS,Mental Health Counslor,2016-05-01,2019-04-30,Male,Rep,A
"Behavioral Science, Board of",Jill Struyk,DES MOINES,POLK,Public Member,2016-05-01,2019-04-30,Female,Rep,A
"Behavioral Science, Board of",Sarah Thomas,NEVADA,STORY,Marriage & Family Therapist,2016-05-01,2019-04-30,Female,None,A
"Blind, Commission for the",Peggy Elliott,GRINNELL,POWESHIEK,Blind Member by Tradition,2014-05-01,2017-04-30,Female,Rep,A
"Blind, Commission for the",Sandra Ryan,Ames,STORY,Blind Member by Tradition,2015-05-01,2018-04-30,Female,Dem,A
"Blind, Commission for the",Joseph Van Lent,Des Moines,POLK,Blind Member by Tradition,2016-05-01,2019-04-30,Male,None,A
Boiler and Pressure Vessel Board,Vacant,,,Manufacturer Representative,2007-05-01,2011-04-30,Male,Rep,V
Boiler and Pressure Vessel Board,Timothy Fehr,Iowa City,JOHNSON,Mechanical Engineer,2013-05-01,2017-04-30,Male,Rep,A
Boiler and Pressure Vessel Board,Amy Iles,Hastings,MILLS,Distributor,2013-05-01,2017-04-30,Female,None,A
Boiler and Pressure Vessel Board,Robert Brecke,CEDAR RAPIDS,LINN,Mechanical Contractor,2013-05-01,2017-04-30,Male,Rep,A
Boiler and Pressure Vessel Board,Lynne Rush,Victor,IOWA,Insurance Inspector,2014-05-01,2018-04-30,Female,None,A
Boiler and Pressure Vessel Board,Frank Ballantini,Ankeny,POLK,Union Representative -steamfitter,2014-05-01,2018-04-30,Male,Dem,A
Boiler and Pressure Vessel Board,Thomas Dye,Norwalk,WARREN,Union Representative,2014-05-01,2018-04-30,Male,None,A
Boiler and Pressure Vessel Board,Susan Oltrogge,DES MOINES,POLK,Mechanical Engineer,2015-05-01,2019-04-30,Female,None,A
"Borlaug Statue Committee, Dr. Norman E",Teri Goodmann,DUBUQUE,DUBUQUE,Member,2011-09-02,,Female,Dem,A
"Borlaug Statue Committee, Dr. Norman E",Dyan Smith,CEDAR RAPIDS,LINN,Member,2011-09-02,,Female,Rep,A
"Borlaug Statue Committee, Dr. Norman E",Jack Thomson,CRESCO,HOWARD,Member,2011-09-02,,Male,Rep,A
"Borlaug Statue Committee, Dr. Norman E",Joanne Stockdale,OKOBOJI,DICKINSON,Member,2011-09-02,,Female,Dem,A
"Borlaug Statue Committee, Dr. Norman E",Kenneth Quinn,DES MOINES,POLK,Member,2011-09-02,,Male,None,A
"Borlaug Statue Committee, Dr. Norman E",Gerald Crawford,DES MOINES,POLK,Member,2011-09-02,,Male,Dem,A
"Borlaug Statue Committee, Dr. Norman E",Patricia Cownie,DES MOINES,POLK,Member,2011-09-02,,Female,Dem,A
"Brain Injuries, Advisory Council on",Carrie Van Quathem,Urbandale,POLK,Provider,2016-07-01,2017-06-30,Female,Dem,A
"Brain Injuries, Advisory Council on",Rhonda Jordal,Forest City,WINNEBAGO,Family Member of Person with a Disability,2015-07-01,2017-06-30,Female,Rep,A
"Brain Injuries, Advisory Council on",Rachel Anderson,Boone,BOONE,Provider,2016-07-01,2017-06-30,Female,None,A
"Brain Injuries, Advisory Council on",Matthew Drewe,Urbandale,IOWA,Brain Injury Survivor,2016-07-01,2017-06-30,Male,Rep,A
"Brain Injuries, Advisory Council on",Megan Henning,WAVERLY,BREMER,Provider,2015-07-01,2017-06-30,Female,Dem,A
"Brain Injuries, Advisory Council on",Jerry Sebert,Spirit Lake,DICKINSON,Brain Injury Survivor,2015-07-01,2017-06-30,Male,Dem,A
"Brain Injuries, Advisory Council on",Troy Ward,North Liberty,JOHNSON,Provider,2016-07-01,2018-06-30,Male,None,A
"Brain Injuries, Advisory Council on",Lora Wall,Blockton,TAYLOR,Family Member of Person with a Disability,2016-07-01,2018-06-30,Female,Rep,A
"Brain Injuries, Advisory Council on",Thomas Brown,Madrid,BOONE,Family Member of Person with a Disability,2016-07-01,2018-06-30,Male,Rep,A
"Brain Injuries, Advisory Council on",Michael Hall,Coralville,JOHNSON,Provider,2016-07-01,2018-06-30,Male,Dem,A
"Brain Injuries, Advisory Council on",Dennis Byrnes,ATALISSA,CEDAR,Brain Injury Survivor,2016-07-01,2018-06-30,Male,None,A
"Brain Injuries, Advisory Council on",Roxanne Cogil,Jamaica,GUTHRIE,Family Member of Person with a Disability,2016-07-01,2018-06-30,Female,Rep,A
"Brain Injuries, Advisory Council on",Justin Johnston,SIOUX CITY,WOODBURY,Brain Injury Survivor,2016-07-01,2018-06-30,Male,None,A
"Brain Injuries, Advisory Council on",Jennifer Durfey,Council Bluffs,POTTAWATTAMIE,Provider,2016-07-01,2018-06-30,Female,Dem,A
"Brain Injuries, Advisory Council on",Barbara Murphy,Cedar Rapids,LINN,Provider,2016-07-01,2018-06-30,Female,None,A
"Building Code Advisory Council, State",Vacant,,,,2008-07-01,2012-06-30,Female,None,V
"Building Code Advisory Council, State",Scott Webster,Bettendorf,SCOTT,Journeyman,2014-07-01,2018-06-30,Male,Rep,A
"Building Code Advisory Council, State",David Kuhn,Huxley,STORY,,2014-07-01,2018-06-30,Male,Dem,A
"Building Code Advisory Council, State",Don Beal,Clive,DALLAS,,2014-07-01,2018-06-30,Male,None,A
"Building Code Advisory Council, State",Marsha Bannister,Panora,GUTHRIE,,2016-07-01,2020-06-30,Female,Rep,A
"Building Code Advisory Council, State",Mark Reetz,Urbandale,POLK,,2016-07-01,2020-06-30,Male,Rep,A
"Building Code Advisory Council, State",Amy Infelt,CORALVILLE,JOHNSON,,2016-07-01,2020-06-30,Female,Rep,A
"Capital Investment Board, Iowa",Donna Walter,ANKENY,POLK,Board Member,2012-09-11,2017-04-30,Female,None,A
"Capital Investment Board, Iowa",Natalie Lischer,Des Moines,POLK,Board Member,2013-05-01,2018-04-30,Female,None,A
"Capital Investment Board, Iowa",Keith Wiggins,cedar rapids,LINN,Board Member,2014-05-01,2019-04-30,Male,Rep,A
"Capital Investment Board, Iowa",Thomas Bernau,DES MOINES,POLK,Board Member,2015-05-01,2020-04-30,Male,Rep,A
"Capital Investment Board, Iowa",Gordon Neumann,Des Moines,POLK,Board Member,2016-05-01,2021-04-30,Male,Rep,A
Capitol Planning Commission,Vacant,,,,2007-05-01,2011-04-30,Female,Dem,V
Capitol Planning Commission,Matthew Anderson,Des Moines,POLK,,2013-05-01,2017-04-30,Male,None,A
Capitol Planning Commission,Elizabeth Isaacson,West Des Moines,POLK,,2013-05-01,2017-04-30,Female,Rep,A
Capitol Planning Commission,Carol Grant,West Des Moines,POLK,,2013-05-01,2017-04-30,Female,None,A
Capitol Planning Commission,William Dikis,CLIVE,POLK,,2015-05-01,2019-04-30,Male,Rep,A
Capitol Planning Commission,Robert Weiser,URBANDALE,POLK,,2015-05-01,2019-04-30,Male,Rep,A
"Centennial Memorial Foundation, Iowa",Wayne Marty,Le Mars,PLYMOUTH,Public Member,2013-07-01,2017-06-30,Male,Dem,A
"Centennial Memorial Foundation, Iowa",Arvid Huisman,Ankeny,POLK,Public Member,2013-07-01,2017-06-30,Male,None,A
"Centennial Memorial Foundation, Iowa",Elaine Estes,DES MOINES,POLK,Public Member,2014-07-01,2018-06-30,Female,Rep,A
"Centennial Memorial Foundation, Iowa",Janet Metcalf,Urbandale,POLK,Public Member,2016-07-01,2020-06-30,Female,Rep,A
Child Advocacy Board,Vacant,,,Casa Volunteer,2007-05-01,2011-04-30,Male,Dem,V
Child Advocacy Board,Shannon Unternahrer,Washington,WASHINGTON,Member,2013-05-01,2017-04-30,Female,Dem,A
Child Advocacy Board,Jeanne Sorensen,LAKE VIEW,SAC,Member,2013-05-01,2017-04-30,Female,None,A
Child Advocacy Board,Elaine Sanders,SIOUX CITY,WOODBURY,Casa Volunteer,2013-05-01,2017-04-30,Female,Rep,A
Child Advocacy Board,Wayne Schellhammer,Urbandale,POLK,Member,2013-05-01,2017-04-30,Male,Rep,A
Child Advocacy Board,Michael Steele,Mt. Pleasant,HENRY,Foster Care Review Board,2014-05-01,2018-04-30,Male,Rep,A
Child Advocacy Board,Gerald Magee,Charles City,FLOYD,Judicial Officer,2014-05-01,2018-04-30,Male,Rep,A
Child Advocacy Board,mark hargrafen,GRIMES,POLK,Member,2014-05-01,2018-04-30,Male,Dem,A
Child Advocacy Board,Beth Myers,Garner,HANCOCK,Member,2014-05-01,2018-04-30,Female,Dem,A
"Chiropractic, Board of",Nancy Netolicky,CEDAR RAPIDS,LINN,Licensed Chiropractor,2014-05-01,2017-04-30,Female,Rep,A
"Chiropractic, Board of",Lorraine May,Des Moines,POLK,Public Member,2014-05-01,2017-04-30,Female,Rep,A
"Chiropractic, Board of",Rex Jones,Spencer,CLAY,Licensed Chiropractor,2014-05-01,2017-04-30,Male,None,A
"Chiropractic, Board of",Aaron Martin,Ankeny,POLK,Licensed Chiropractor,2015-05-01,2018-04-30,Male,Rep,A
"Chiropractic, Board of",Stephanie Netolicky,Ankeny,POLK,Public Member,2015-05-01,2018-04-30,Female,Dem,A
"Chiropractic, Board of",Randall Stange,Orange City,SIOUX,Licensed Chiropractor,2015-05-01,2018-04-30,Male,Rep,A
"Chiropractic, Board of",Jason Wall,Dyersville,DUBUQUE,Licensed Chiropractor,2016-05-01,2019-04-30,Male,None,A
City Development Board,Sarah Beatty,Sigourney,KEOKUK,"From County < 50,000",2014-05-01,2018-04-30,Female,Rep,A
City Development Board,Dennis Plautz,Fort Dodge,WEBSTER,"From City < 45,000",2014-05-01,2018-04-30,Male,None,A
City Development Board,Barbara Brown,Cedar Falls,BLACK HAWK,"From City > 45,000",2015-05-01,2019-04-30,Female,Dem,A
City Development Board,Jay Howe,Greenfield,ADAIR,Public Member,2015-05-01,2019-04-30,Male,Rep,A
City Development Board,James Halverson,Cedar Rapids,LINN,"From County > 50,000",2016-05-01,2020-04-30,Male,None,A
City Finance Committee,Vacant,,,"City Official > 50,000",2008-05-01,2012-04-30,Female,Dem,V
City Finance Committee,Vacant,,,"City Official 2,500-15,000",2008-05-01,2012-04-30,Female,None,V
City Finance Committee,Denise Hoy,Conrad,GRUNDY,"City Official < 2,500",2014-05-01,2018-04-30,Female,Rep,A
City Finance Committee,Thomas Dryg,Bettendorf,SCOTT,Governor's Designee,2014-06-03,2018-04-30,Male,Dem,A
City Finance Committee,Carrie Kruse,Windsor Heights,POLK,City Official Any Size,2014-05-01,2018-04-30,Female,Dem,A
City Finance Committee,Kevin Jacobson,Mason City,CERRO GORDO,"City Official 15,000-50,000",2014-05-01,2018-04-30,Male,None,A
City Finance Committee,Randall Cook,Creston,UNION,Certified Public Accountant,2016-08-10,2020-04-30,Male,Rep,A
"Civil Rights Commission, Iowa State",Lawrence Cunningham,Urbandale,POLK,Citizen Member,2013-05-01,2017-04-30,Male,Dem,A
"Civil Rights Commission, Iowa State",Douglas Oelschlaeger,Cedar Rapids,LINN,Citizen Member,2013-05-01,2017-04-30,Male,Rep,A
"Civil Rights Commission, Iowa State",Tom Conley,URBANDALE,DALLAS,Citizen Member,2013-05-01,2017-04-30,Male,Rep,A
"Civil Rights Commission, Iowa State",Lily Lijun Hou,Urbandale,DALLAS,Citizen Member,2013-05-01,2017-04-30,Female,None,A
"Civil Rights Commission, Iowa State",Patricia Lipski,WASHINGTON,WASHINGTON,Citizen Member,2015-05-01,2019-04-30,Female,Rep,A
"Civil Rights Commission, Iowa State",Angela Williams,URBANDALE,POLK,Citizen Member,2015-05-01,2019-04-30,Female,Dem,A
"Civil Rights Commission, Iowa State",Robert Hosford,West Des Moines,POLK,Citizen Member,2015-05-01,2019-04-30,Male,Rep,A
College Student Aid Commission,Crystal Ford,Cedar Falls,BLACK HAWK,Loan with Commission,2013-07-01,2017-06-30,Female,Rep,A
College Student Aid Commission,Roger Claypool,LE MARS,PLYMOUTH,Public Member,2013-07-01,2017-06-30,Male,Rep,A
College Student Aid Commission,Michael Ash,Burlington,DES MOINES,Community College,2013-07-01,2017-06-30,Male,None,A
College Student Aid Commission,Amy Brace,Ankeny,POLK,Student,2015-08-06,2018-06-30,Female,None,A
College Student Aid Commission,Janet Adams,WEBSTER CITY,HAMILTON,Public Member,2014-07-01,2018-06-30,Female,Dem,A
College Student Aid Commission,Karolyn Wells,ALTOONA,POLK,Lending Institution,2014-07-01,2018-06-30,Female,Rep,A
College Student Aid Commission,Doug Shull,Indianola,WARREN,Public Member,2015-07-01,2019-06-30,Male,Rep,A
College Student Aid Commission,Frederick Moore,STORM LAKE,BUENA VISTA,Private Colleges,2015-07-01,2019-06-30,Male,None,A
"Community Action Agencies, Commission on",Vacant,,,Low Income Member,2010-05-01,2013-04-30,Female,Dem,V
"Community Action Agencies, Commission on",Anna Brown,DE WITT,CLINTON,Low Income Member,2014-05-01,2017-04-30,Female,None,A
"Community Action Agencies, Commission on",Mary Whisenand,Des Moines,POLK,Business Member,2014-05-01,2017-04-30,Female,Rep,A
"Community Action Agencies, Commission on",Tom Quiner,DES MOINES,POLK,Business Member,2014-05-01,2017-04-30,Male,Rep,A
"Community Action Agencies, Commission on",Marc Lindeen,MT PLEASANT,HENRY,Elected Official,2015-05-01,2018-04-30,Male,Rep,A
"Community Action Agencies, Commission on",Anna Hilpipre,Brooklyn,POWESHIEK,Low Income Member,2015-05-01,2018-04-30,Female,None,A
"Community Action Agencies, Commission on",Kelly Busch,CRESTON,UNION,Elected Official,2015-05-01,2018-04-30,Female,Rep,A
"Community Action Agencies, Commission on",John Murphy,Dubuque,DUBUQUE,Elected Official,2016-05-01,2019-04-30,Male,Dem,A
"Community Action Agencies, Commission on",Melissa Thompson,Des Moines,POLK,Community Interest Groups,2016-05-01,2019-04-30,Female,Rep,A
Consumer Advisory Council,Vacant,,,Member,2012-07-01,2016-06-30,,,V
Consumer Advisory Council,Mary Rathje,Marion,LINN,Member,2013-07-01,2017-06-30,Female,Rep,A
