GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
112635302700000,NE 160,RESIDENTIAL,51600,0,51600,193800,0,245400
112635302800000,NE 160,RESIDENTIAL,48300,0,48300,197400,0,245700
112635400100000,NE 160,RESIDENTIAL,46500,0,46500,176500,0,223000
112635400200000,NE 160,RESIDENTIAL,46900,0,46900,195100,0,242000
112635400300000,NE 160,RESIDENTIAL,48400,0,48400,194500,0,242900
112635400400000,NE 160,RESIDENTIAL,49200,0,49200,201500,0,250700
112635400500000,NE 160,RESIDENTIAL,49900,0,49900,205300,0,255200
112635400600000,NE 160,RESIDENTIAL,54200,0,54200,179100,0,233300
112635400700000,NE 160,RESIDENTIAL,53300,0,53300,217200,0,270500
112635400800000,NE 160,RESIDENTIAL,49200,0,49200,201400,0,250600
112635400900000,NE 160,RESIDENTIAL,48300,0,48300,256300,0,304600
112635401000000,NE 160,RESIDENTIAL,48100,0,48100,210600,0,258700
112635401100000,NE 160,RESIDENTIAL,47400,0,47400,205800,0,253200
112635401200000,NE 160,RESIDENTIAL,48600,0,48600,186300,0,234900
112635401300000,NE 160,RESIDENTIAL,49000,0,49000,205100,0,254100
112635401400000,NE 160,RESIDENTIAL,50000,0,50000,235700,0,285700
112635401500000,NE 160,RESIDENTIAL,50200,0,50200,211700,0,261900
112635401600000,NE 160,RESIDENTIAL,50400,0,50400,227900,0,278300
112635401700000,NE 160,RESIDENTIAL,70800,0,70800,265100,0,335900
112635401800000,NE 160,RESIDENTIAL,51900,0,51900,244400,0,296300
112635401900000,NE 160,RESIDENTIAL,50100,0,50100,225600,0,275700
112635402000000,NE 160,RESIDENTIAL,50100,0,50100,205800,0,255900
112635402100000,NE 160,RESIDENTIAL,50400,0,50400,225700,0,276100
112635402200000,NE 160,RESIDENTIAL,47900,0,47900,203400,0,251300
112635402300000,NE 160,RESIDENTIAL,50600,0,50600,215300,0,265900
112635402400000,NE 160,RESIDENTIAL,48000,0,48000,189300,0,237300
112635402500000,NE 160,RESIDENTIAL,46000,0,46000,233500,0,279500
112635402600000,NE 160,RESIDENTIAL,48900,0,48900,202500,0,251400
112635402700000,NE 160,RESIDENTIAL,48900,0,48900,180600,0,229500
112635402800000,NE 160,RESIDENTIAL,48900,0,48900,215400,0,264300
112635402900000,NE 160,RESIDENTIAL,48300,0,48300,191000,0,239300
112635403000000,NE 160,RESIDENTIAL,47000,0,47000,176900,0,223900
112635403100000,NE 160,RESIDENTIAL,48800,0,48800,175400,0,224200
112635403200000,NE 160,RESIDENTIAL,49600,0,49600,236400,0,286000
112635403300000,NE 160,RESIDENTIAL,49700,0,49700,210600,0,260300
112635403400000,NE 160,RESIDENTIAL,48500,0,48500,160100,0,208600
112635403500000,NE 160,RESIDENTIAL,47600,0,47600,205700,0,253300
112635403600000,NE 160,RESIDENTIAL,49400,0,49400,196900,0,246300
112635403700000,NE 160,RESIDENTIAL,51100,0,51100,202100,0,253200
112635403800000,NE 160,RESIDENTIAL,49400,0,49400,222100,0,271500
112635403900000,NE 160,RESIDENTIAL,47800,0,47800,209800,0,257600
112635404000000,NE 160,RESIDENTIAL,50600,0,50600,169600,0,220200
112635404100000,NE 160,RESIDENTIAL,47000,0,47000,213300,0,260300
112635404200000,NE 160,RESIDENTIAL,48200,0,48200,190500,0,238700
112635500100000,NE 160,RESIDENTIAL,50000,0,50000,171000,0,221000
112635600100000,NE 160,RESIDENTIAL,51100,0,51100,181600,0,232700
112635700100000,NE 160,RESIDENTIAL,54000,0,54000,286700,0,340700
112635700300000,NE 160,RESIDENTIAL,48600,0,48600,204800,0,253400
112635700400000,NE 160,RESIDENTIAL,48300,0,48300,206800,0,255100
112635700500000,NE 160,RESIDENTIAL,46900,0,46900,208900,0,255800
112637600100000,NE 160,RESIDENTIAL,47500,0,47500,188200,0,235700
112637600200000,NE 160,RESIDENTIAL,48400,0,48400,195200,0,243600
112637600300000,NE 160,RESIDENTIAL,48400,0,48400,154100,0,202500
112637600400000,NE 160,RESIDENTIAL,48800,0,48800,166200,0,215000
112637600500000,NE 160,RESIDENTIAL,48800,0,48800,186500,0,235300
112637600600000,NE 160,RESIDENTIAL,47300,0,47300,210700,0,258000
112637600700000,NE 160,RESIDENTIAL,49000,0,49000,162100,0,211100
112637600800000,NE 160,RESIDENTIAL,48200,0,48200,211500,0,259700
112637600900000,NE 160,RESIDENTIAL,43800,0,43800,166900,0,210700
112637601000000,NE 160,RESIDENTIAL,49200,0,49200,206700,0,255900
112637700100000,NE 160,RESIDENTIAL,47500,0,47500,186300,0,233800
112637700200000,NE 160,RESIDENTIAL,44100,0,44100,194100,0,238200
112637700300000,NE 160,RESIDENTIAL,48000,0,48000,210400,0,258400
112637700400000,NE 160,RESIDENTIAL,48700,0,48700,179200,0,227900
112637700500000,NE 160,RESIDENTIAL,48800,0,48800,206600,0,255400
112637700600000,NE 160,RESIDENTIAL,45600,0,45600,173500,0,219100
112637700700000,NE 160,RESIDENTIAL,48100,0,48100,193700,0,241800
112637700800000,NE 160,RESIDENTIAL,43400,0,43400,199700,0,243100
112637700900000,NE 160,RESIDENTIAL,45900,0,45900,181400,0,227300
112637701000000,NE 160,RESIDENTIAL,44300,0,44300,192500,0,236800
112637701100000,NE 160,RESIDENTIAL,49300,0,49300,180500,0,229800
112637701200000,NE 160,RESIDENTIAL,48800,0,48800,212700,0,261500
112637701300000,NE 160,RESIDENTIAL,48300,0,48300,225000,0,273300
112637701400000,NE 160,RESIDENTIAL,46800,0,46800,151300,0,198100
112637701500000,NE 160,RESIDENTIAL,50400,0,50400,206500,0,256900
112637701600000,NE 160,RESIDENTIAL,50500,0,50500,192100,0,242600
112637701700000,NE 160,RESIDENTIAL,47700,0,47700,168700,0,216400
112637701800000,NE 160,RESIDENTIAL,47900,0,47900,169500,0,217400
112637701900000,NE 160,RESIDENTIAL,48100,0,48100,183400,0,231500
112637702000000,NE 160,RESIDENTIAL,45500,0,45500,194200,0,239700
112637702100000,NE 160,RESIDENTIAL,45500,0,45500,204300,0,249800
112637702200000,NE 160,RESIDENTIAL,48300,0,48300,179800,0,228100
112637702300000,NE 160,RESIDENTIAL,46600,0,46600,182300,0,228900
112637702400000,NE 160,RESIDENTIAL,47900,0,47900,172300,0,220200
112637702500000,NE 160,RESIDENTIAL,47600,0,47600,214800,0,262400
112637702600000,NE 160,RESIDENTIAL,49800,0,49800,184900,0,234700
112637702700000,NE 160,RESIDENTIAL,47600,0,47600,193800,0,241400
112637800100000,NE 160,RESIDENTIAL,46900,0,46900,198500,0,245400
112637800200000,NE 160,RESIDENTIAL,44600,0,44600,204600,0,249200
112637800300000,NE 160,RESIDENTIAL,48700,0,48700,210100,0,258800
112637800400000,NE 160,RESIDENTIAL,47700,0,47700,231200,0,278900
112637800500000,NE 160,RESIDENTIAL,47100,0,47100,225900,0,273000
112637800600000,NE 160,RESIDENTIAL,48300,0,48300,200100,0,248400
112637800700000,NE 160,RESIDENTIAL,46400,0,46400,201000,0,247400
112637800800000,NE 160,RESIDENTIAL,46100,0,46100,184900,0,231000
112637800900000,NE 160,RESIDENTIAL,47200,0,47200,200800,0,248000
112637801000000,NE 160,RESIDENTIAL,48000,0,48000,185900,0,233900
112637801100000,NE 160,RESIDENTIAL,49900,0,49900,202600,0,252500
112637801200000,NE 160,RESIDENTIAL,47000,0,47000,188600,0,235600
112637801300000,NE 160,RESIDENTIAL,46600,0,46600,198200,0,244800
112637801400000,NE 160,RESIDENTIAL,46000,0,46000,211000,0,257000
112637801500000,NE 160,RESIDENTIAL,46000,0,46000,188000,0,234000
112637801600000,NE 160,RESIDENTIAL,44300,0,44300,213800,0,258100
112637801700000,NE 160,RESIDENTIAL,47400,0,47400,183100,0,230500
112637801800000,NE 160,RESIDENTIAL,47500,0,47500,189400,0,236900
112637801900000,NE 160,RESIDENTIAL,49000,0,49000,177900,0,226900
112637802000000,NE 160,RESIDENTIAL,46900,0,46900,150300,0,197200
112637900100000,NE 160,RESIDENTIAL,49400,0,49400,217900,0,267300
112637900200000,NE 160,RESIDENTIAL,46900,0,46900,196600,0,243500
112637900300000,NE 160,RESIDENTIAL,47700,0,47700,207100,0,254800
112637900400000,NE 160,RESIDENTIAL,46000,0,46000,179500,0,225500
112637900500000,NE 160,RESIDENTIAL,48100,0,48100,183200,0,231300
112637900600000,NE 160,RESIDENTIAL,49800,0,49800,167800,0,217600
112637900700000,NE 160,RESIDENTIAL,47600,0,47600,183800,0,231400
112637900800000,NE 160,RESIDENTIAL,46500,0,46500,193700,0,240200
112637900900000,NE 160,RESIDENTIAL,51700,0,51700,237700,0,289400
112637901000000,NE 160,RESIDENTIAL,48700,0,48700,245800,0,294500
112638000100000,NE 160,RESIDENTIAL,49200,0,49200,186900,0,236100
112638000200000,NE 160,RESIDENTIAL,43700,0,43700,207100,0,250800
112638000300000,NE 160,RESIDENTIAL,48300,0,48300,190000,0,238300
112638000400000,NE 160,RESIDENTIAL,46000,0,46000,194500,0,240500
112638000500000,NE 160,RESIDENTIAL,46000,0,46000,177500,0,223500
112638100100000,NE 160,RESIDENTIAL,51600,0,51600,174500,0,226100
112638100200000,NE 160,RESIDENTIAL,49200,0,49200,151400,0,200600
112638100300000,NE 160,RESIDENTIAL,48600,0,48600,164200,0,212800
112638100400000,NE 160,RESIDENTIAL,30000,0,30000,188000,0,218000
112638100500000,NE 160,RESIDENTIAL,46300,0,46300,198500,0,244800
112638100600000,NE 160,RESIDENTIAL,44600,0,44600,188300,0,232900
112638100700000,NE 160,RESIDENTIAL,46900,0,46900,191700,0,238600
112638100800000,NE 160,RESIDENTIAL,46800,0,46800,172500,0,219300
112638100900000,NE 160,RESIDENTIAL,44700,0,44700,155000,0,199700
112638101000000,NE 160,RESIDENTIAL,46900,0,46900,166300,0,213200
112638101100000,NE 160,RESIDENTIAL,46900,0,46900,178800,0,225700
112638101200000,NE 160,RESIDENTIAL,44600,0,44600,204500,0,249100
112638101300000,NE 160,RESIDENTIAL,49300,0,49300,196500,0,245800
112638101400000,NE 160,RESIDENTIAL,46900,0,46900,189200,0,236100
112638101500000,NE 160,RESIDENTIAL,46900,0,46900,188800,0,235700
112638101600000,NE 160,RESIDENTIAL,45500,0,45500,192700,0,238200
112638101700000,NE 160,RESIDENTIAL,49300,0,49300,143100,0,192400
112638200100000,NE 160,RESIDENTIAL,50100,0,50100,181800,0,231900
112638200200000,NE 160,RESIDENTIAL,41200,0,41200,162700,0,203900
112638200300000,NE 160,RESIDENTIAL,48100,0,48100,195300,0,243400
112638200400000,NE 160,RESIDENTIAL,50000,0,50000,161700,0,211700
112638200500000,NE 160,RESIDENTIAL,48400,0,48400,187700,0,236100
112638200600000,NE 160,RESIDENTIAL,48500,0,48500,164700,0,213200
112638200700000,NE 160,RESIDENTIAL,49300,0,49300,175700,0,225000
112638200800000,NE 160,RESIDENTIAL,44600,0,44600,168600,0,213200
112638200900000,NE 160,RESIDENTIAL,44600,0,44600,177600,0,222200
112638201000000,NE 160,RESIDENTIAL,49300,0,49300,192700,0,242000
112638201100000,NE 160,RESIDENTIAL,51100,0,51100,226700,0,277800
112638201200000,NE 160,RESIDENTIAL,49300,0,49300,203300,0,252600
112638201300000,NE 160,RESIDENTIAL,46300,0,46300,201300,0,247600
112638201400000,NE 160,RESIDENTIAL,42800,0,42800,163500,0,206300
112638201500000,NE 160,RESIDENTIAL,49300,0,49300,171700,0,221000
112638201600000,NE 160,RESIDENTIAL,44600,0,44600,187700,0,232300
112638201700000,NE 160,RESIDENTIAL,47700,0,47700,184500,0,232200
112638201800000,NE 160,RESIDENTIAL,50900,0,50900,178000,0,228900
112638201900000,NE 160,RESIDENTIAL,51700,0,51700,210300,0,262000
112638202000000,NE 160,RESIDENTIAL,46900,0,46900,151500,0,198400
112638202100000,NE 160,RESIDENTIAL,46900,0,46900,143200,0,190100
112638202200000,NE 160,RESIDENTIAL,46900,0,46900,190500,0,237400
112638202300000,NE 160,RESIDENTIAL,50000,0,50000,202000,0,252000
112638300100000,NE 160,RESIDENTIAL,48900,0,48900,189700,0,238600
112638300200000,NE 160,RESIDENTIAL,48900,0,48900,182000,0,230900
112712600400000,NE 173,RESIDENTIAL,69400,0,69400,252600,0,322000
112712600500000,NE 173,RESIDENTIAL,72500,0,72500,169900,0,242400
112712600600000,NE 173,RESIDENTIAL,75300,0,75300,300000,0,375300
112712700200000,NE 173,RESIDENTIAL,54700,0,54700,179000,0,233700
112712700300000,NE 173,RESIDENTIAL,52600,0,52600,239300,0,291900
112712700400000,NE 173,RESIDENTIAL,52600,0,52600,234000,0,286600
112712700500000,NE 173,RESIDENTIAL,52600,0,52600,236500,0,289100
112712800100000,NE 173,RESIDENTIAL,55300,0,55300,209400,0,264700
112715200100000,NE 101,AG LAND,28600,0,28600,0,0,28600
112715200200000,NE 173,RESIDENTIAL,61200,0,61200,261600,0,322800
112715200300000,NE 173,RESIDENTIAL,56600,0,56600,284100,0,340700
112715200400000,NE 173,RESIDENTIAL,72700,0,72700,307600,0,380300
112715200500000,NE 173,RESIDENTIAL,53700,0,53700,190700,0,244400
112715200600000,NE 173,RESIDENTIAL,55300,0,55300,235600,0,290900
112715200700000,NE 173,RESIDENTIAL,57600,0,57600,247000,0,304600
112715200800000,NE 173,RESIDENTIAL,52000,0,52000,228100,0,280100
112715200900000,NE 173,RESIDENTIAL,52000,0,52000,253500,0,305500
112715201000000,NE 173,RESIDENTIAL,52000,0,52000,253200,0,305200
112715201100000,NE 173,RESIDENTIAL,52000,0,52000,266300,0,318300
112715201200000,NE 173,RESIDENTIAL,52000,0,52000,238200,0,290200
112715201300000,NE 173,RESIDENTIAL,52000,0,52000,256400,0,308400
112715201400000,NE 173,RESIDENTIAL,54500,0,54500,267700,0,322200
112715201500000,NE 173,RESIDENTIAL,62900,0,62900,276900,0,339800
112715201600000,NE 173,RESIDENTIAL,60200,0,60200,255900,0,316100
112715201700000,NE 173,RESIDENTIAL,56800,0,56800,0,0,56800
112715201800000,NE 173,RESIDENTIAL,64200,0,64200,273200,0,337400
112715201900000,NE 173,RESIDENTIAL,61500,0,61500,281500,0,343000
112715202000000,NE 173,RESIDENTIAL,55300,0,55300,272100,0,327400
112715202100000,NE 173,RESIDENTIAL,52400,0,52400,264700,0,317100
112715202200000,NE 173,RESIDENTIAL,62800,0,62800,283200,0,346000
112715202300000,NE 173,RESIDENTIAL,77000,0,77000,289700,0,366700
112715202400000,NE 173,RESIDENTIAL,60600,0,60600,275300,0,335900
112715202500000,NE 173,RESIDENTIAL,53700,0,53700,296200,0,349900
112715202600000,NE 173,RESIDENTIAL,63700,0,63700,0,0,63700
112715300100000,NE 173,RESIDENTIAL,55600,0,55600,247300,0,302900
112715300200000,NE 173,RESIDENTIAL,52500,0,52500,220600,0,273100
112715300300000,NE 173,RESIDENTIAL,52000,0,52000,247600,0,299600
112715300400000,NE 173,RESIDENTIAL,51500,0,51500,269900,0,321400
112715300500000,NE 173,RESIDENTIAL,51500,0,51500,299500,0,351000
112715300600000,NE 173,RESIDENTIAL,51500,0,51500,280700,0,332200
112715300700000,NE 173,RESIDENTIAL,51500,0,51500,245800,0,297300
112715300800000,NE 173,RESIDENTIAL,51000,0,51000,252300,0,303300
112715300900000,NE 173,RESIDENTIAL,51000,0,51000,248100,0,299100
112715301000000,NE 173,RESIDENTIAL,58300,0,58300,255100,0,313400
112715301100000,NE 173,RESIDENTIAL,58500,0,58500,256000,0,314500
112715301200000,NE 173,RESIDENTIAL,59900,0,59900,235100,0,295000
112715301300000,NE 173,RESIDENTIAL,61600,0,61600,243300,0,304900
112715400100000,NE 173,RESIDENTIAL,51600,0,51600,0,0,51600
112715400200000,NE 173,RESIDENTIAL,51300,0,51300,0,0,51300
112715400300000,NE 173,RESIDENTIAL,50500,0,50500,0,0,50500
112715400400000,NE 173,RESIDENTIAL,47800,0,47800,241700,0,289500
112715400500000,NE 173,RESIDENTIAL,47800,0,47800,239300,0,287100
112715400600000,NE 173,RESIDENTIAL,47800,0,47800,268000,0,315800
112715400700000,NE 173,RESIDENTIAL,47800,0,47800,245600,0,293400
112715400800000,NE 173,RESIDENTIAL,47800,0,47800,262600,0,310400
112715400900000,NE 173,RESIDENTIAL,47800,0,47800,224700,0,272500
112715401000000,NE 173,RESIDENTIAL,47800,0,47800,245300,0,293100
112715401100000,NE 173,RESIDENTIAL,47800,0,47800,210500,0,258300
112715401200000,NE 173,RESIDENTIAL,47800,0,47800,212600,0,260400
112715401300000,NE 173,RESIDENTIAL,51700,0,51700,206100,0,257800
112717700100000,NE 101,AG LAND,22400,0,22400,0,0,22400
112720401600000,SCHOOL,EXEMPT,0,0,0,0,0,0
112720401800000,SCHOOL,EXEMPT,0,0,0,0,0,0
112720402000000,NE 101,AG LAND,10500,0,10500,0,0,10500
112722700100000,NE 175,RESIDENTIAL,38600,0,38600,154500,0,193100
112722700200000,NE 175,RESIDENTIAL,37100,0,37100,146100,0,183200
