word,count
sensible,1
laws,3
insurance,3
responsibility—mine,1
generational,1
gifts,1
marketplace,3
coupled,1
responsible,2
leadership,4
choices we,1
potential,2
1992,1
2001,2
men,4
women,3
differences,3
heartland,1
burdened,1
debt,3
uncertainty,1
lighthouse,1
light,4
borders,1
page,1
2012,1
purpose,1
dynamic,1
times,4
hail,1
job opportunities,1
iowa child,2
access,8
affirms,1
iowans' quality,1
heights,1
healthiest,1
veterans,16
rfs,4
connect,8
healthier,3
policies,7
invested,4
members,5
community colleges,5
renewable,10
buildings,3
repurpose,3
bully,6
military,7
encouraging,4
iowa health,3
wellness,3
tax relief,4
alive,2
olympics,2
morning,5
positive,6
three years ago,2
epa,2
student debt,4
historic,7
colleges,4
tuition,7
collaboration,6
reinforce,2
standard,5
apprenticeship programs,2
goal,6
broadband,5
move iowa forward,2
used,2
dmu,2
service,9
square,2
olympic,2
sector,4
iowa taxpayers,4
welcome,6
rainy,1
emergency funds,1
30,1
iowa jobs,1
similar,2
this morning,1
cleaner,1
environment,1
opened,3
60000,1
19th,1
9th,1
dependence,1
oil,2
move,1
representatives,2
senator,1
doctors they,1
valuable members,1
this month,2
voice,1
online petition,1
assessments,2
physicals,1
forum,1
130000,1
madam lieutenant governor,4
resoundingly,1
bipartisan fashion,1
bureaucrats,1
governors,1
resolution,1
inadequate,1
refocused,1
robust,2
last three years,1
75 billion,1
letter,1
turnaround,1
ioc,1
agriculture,3
shape,1
wind,5
dollar,2
world class fertilizer,1
southeast iowans,1
employers invest,1
iowa wrestlers,1
this historic measure,1
44 billion,1
seriousness,1
version,1
legislative,10
things,2
school choice,1
equip,1
rally,1
begun,2
preeminence,1
advisory council,2
vermeer ceo,1
20,1
expected,2
robots,1
complex,1
math problems,1
gallery,2
forward,3
planted,1
three years,1
biofuels,2
street businesses,4
accomplish,3
results,5
productive,2
40,3
obstacles,1
unattainable,1
44,1
strapped,2
massive,1
amounts,1
humbled,2
ease,1
burden,1
faith,1
tenacity,1
iowa tuition,1
grant,1
provided targeted,1
achievers,1
livelihood,1
30 years,2
key tuition assistance programs,1
devout,2
belief,1
grace,4
god we,1
bountiful harvest,1
bills,1
duty,2
literacy programs,1
affordable,5
debt incurred,1
apprenticeships,4
focused,2
streamlined,1
outgrowths,1
setback,1
agriculture sector,1
effectively,1
triples,1
pipeline,4
skilled workers,2
jobs they,1
eager,4
national,3
competitor,1
connected,3
implement,6
instruction,2
available,6
connect businesses,1
entrepreneur,1
dime,1
2011,3
pocket,1
billion,3
dollar idea,1
personal,2
data,2
household,1
google,2
microsoft,2
facebook,3
tech startup communities,1
cedar rapids,2
iowa city,1
entrepreneurs,1
dwolla,1
pinterest,1
webfilings,1
cedar,1
gigabit city,1
connected communities,1
midwest,1
broadband committee,1
recommendations,3
consideration,2
incentives,1
adoption,1
individuals,5
information,4
communications,2
standing,3
icn,1
iowa communications network,1
partner,1
connectivity,1
energy sector,2
connection speeds,1
nation iowa,1
pace,1
county tour,1
vibrancy,1
enjoyment,1
watermelon,1
stanhope,1
bell tower festival,1
jefferson,1
swamp fox festival,1
marion,1
farmers,8
noon,1
paralyzed,1
cliffs,1
ceilings,1
shells,1
landscapes,1
sequesters,1
hustle,1
bustle,1
schoolchildren,1
shutdown,1
iowa leaders,1
childhood,1
treasures,1
the economic centers,1
tax incentives,1
commerce,1
renewed investment,1
yesterday,1
opposite,1
bully they,1
behalf,1
nightmare,1
abuse,5
political,1
school officials,1
2014,3
unable,1
escape,1
accessible,3
24/7,1
bleak it,1
parties,1
respond effectively,1
bullies,4
evidence,1
liberties,2
rights,4
agenda,1
last october,2
bipartisan jobs,1
service members,2
gallery we,1
veterans organizations,1
dignity,1
man,1
blood,1
forefront,1
5000,1
november,2
recruit veterans,1
e30 fuel,1
reflection,1
endeavor,1
passion,5
congressman,1
ceo,1
casey,1
grim,1
safe,4
neighborhood,1
ceremonies,1
telling,1
pensions,1
assistance,2
occupational,1
licensure,1
destination,1
6th,1
university,1
regents institutions,2
spouses,1
dependents,1
stakeholders,1
regents,1
consistent,1
academic,1
freedom,1
25000,1
gratitude,1
respect,2
ladies,3
gentlemen,3
dialogue,1
difference,1
everyday,1
greater opportunity,1
hand,1
bigger,1
dictated,1
fuels industry,1
true,1
constituents,6
ourselves,1
any other place,1
embraces,1
greater transparency,1
accountability,1
shy,1
embrace them,1
competitiveness,1
everyone we,1
infrastructure,8
acre,5
domestic,6
victims,5
council bluffs,5
roads,7
bridges,4
transparent,4
information board,4
universities,3
iowa workers,3
more open,3
sioux city,3
community leaders,3
notification,3
safety,6
sentence,3
veteran,3
dedicated,4
tour,2
transparency,2
districts,2
regents universities,2
internet,2
northwest iowa,2
parental,2
layer,2
safer,4
protect victims,2
abusers,2
abuser,2
habitual,2
victim,2
authorities,2
2015,2
nitrogen fertilizer,2
10000,2
equipment,2
this day,2
age it,2
parks,2
broadband internet,2
exceptional,2
ethic,2
short,2
solution,3
palfinger,2
gates,2
degrees,2
freezing,2
interest,3
near,3
banks,2
life initiatives,2
valley,2
homes,2
ragbrai,2
located,2
harassment,1
slashed,1
9 billion,1
600,1
iowa fields,1
farmland,1
in front,1
renew,1
county government,1
invested historically,1
independent,2
joint session,2
skilled,1
partisan,1
portal,1
iowa package,1
extensive,1
teacher leadership system,2
actions,2
lieutenant governor reynolds,1
north,1
linn,1
marshalltown school,1
cities,1
topic,1
school administrators,1
embrace veterans,1
stories,1
disrupted,1
unsafe,1
worse,1
transition,1
emotionally,1
civilian,1
college campuses,1
tormented,1
iowa champs designation,1
lurk,1
confidence,2
corners,1
schoolhouse,1
snapchat,1
instagram,1
campus,1
twitter,1
yik yak,1
text,1
respectful,1
iowa jobs bank,1
stand up to,1
earlier,2
extra,1
protection,1
united states marine,1
exception,1
bullied student,1
informed me,1
rejection,1
prevention program,1
student mentors,1
minnesota,1
bill,6
athletics,1
sibley,1
investigator,1
643,1
iowa program,1
business environment,1
700,1
strength,2
1700,2
fraction,1
machinist,1
prison,1
convicted,1
offender,1
classification,1
triple,1
mandatory,1
criminals,1
ample time,1
offenders,1
vulnerable,1
criminal,8
threats,1
iowa courts,1
individual,1
violated,1
joint commitment,1
notified,1
power,2
proximity,1
gps,1
dangerous,1
violence,2
books,1
iowa apprenticeship,1
prudent,1
iowa data center,1
altoona,1
initiatives,2
region,1
cf industries,1
iowans move forward,1
iowa fertilizer,1
under,3
def,1
pollution,2
mileage,1
diesel,1
valent,1
biosciences,1
kinze,1
kemin,1
sabre,1
brownell,1
midamerican,1
wind project,1
operations,1
lifeblood,1
3500,1
sharpen,1
craft,1
goods,1
fabric,3
woven,1
gravel roads,1
servant,1
connection,1
representative,1
partisan politics,1
broadband legislation,1
service providers,1
networks,1
davenport,2
weave them,1
fiber,1
reasonable,1
regulations,1
iowa farms,1
communities broadband,1
ongoing,1
most fertile,1
community pride,1
guideposts,1
days,1
emergency,2
rhetoric,1
infrastructure funding,2
completed battelle,1
adequate,1
road funding,1
fully funded,1
bridge maintenance,1
10th,1
uncertain,1
more difficult,1
commodities,2
sound infrastructure,1
pave,1
familiar journey,1
vitality iowa,1
broadband infrastructure,1
bipartisan priority,1
confident,2
dedication,1
skilled job openings,1
toured omaha,1
168,1
mindful,1
international,1
hoists,1
the prudent budgeting,1
reinvest,1
facility,1
production floor,1
welders,1
machinists,1
superior,1
careful,1
overseas,1
manufactured,1
company leadership,1
management,1
24000,1
encounter,1
iowa worker,1
omaha,1
tight,1
secret,1
choppy,1
waters,1
the biennial budget,1
projections,4
consecutive,1
volunteer,1
worthy,2
contributions,1
the right steps,1
money they,1
october with eight,1
resource,2
responded,1
cases,4
inquiries,1
complaints,1
policy makers,1
dozen trucks,1
field,1
respond,1
beans,1
government transparency,1
dark,1
personnel decisions,1
loophole,1
records law,1
iowa house,1
bipartisan legislation,1
friend,5
personnel,1
substantiated offense,1
government employee,1
hidden,1
shadows,1
records,3
marvel,1
beauty,1
landscape,1
amaze me,1
trestle trail,1
madrid,1
revitalization,1
downtown,1
lewis,1
missouri river,1
dubuque,1
mississippi river,1
rivers,1
visitors,2
attractions,1
interested,1
trails,1
lakes,1
museums,1
proposals,1
protect students,1
the old saying,1
june of last year,1
torrential,1
rains pummeled,1
rock river,1
a few,2
weeks,1
rock valley,1
people showed up to sandbag,1
emergency managers,1
night,1
locals,1
cyclists,1
globe,1
rock,1
city,2
86th,2
water quality,10
energy,12
justice system,7
school infrastructure,6
minor,4
justice,4
stable,4
juvenile,4
certainty,3
joe,4
2010,4
naacp,3
water,2
10 million,2
reduction,2
disclosure,2
reliable,2
registered apprenticeships,3
predictable,2
total,3
32 billion,2
electric,2
any other state,2
renewables,2
sincere,2
disparities,2
betty,2
equitable,2
person,3
branch,2
incarcerated,2
crime,2
racial,2
fair,2
confidentiality,2
delinquency records,2
19,1
jack,1
funding they,1
pre k-12 funding,1
145 million,1
iowa family incomes,1
installment,1
extraordinary,1
compensation,1
12 billion,1
pre k-12 education,1
bi partisan fashion,1
supplemental,2
digital,2
education officials,1
k-12 education funding,1
presented,1
false choice,1
nothing,1
chart,1
substantial,1
framework,1
announcement,1
southeast polk,1
iowa farmer,1
iowa corn grower,1
boone school board president,1
co chair,1
task,1
lt gov,1
1980,1
key,1
engine,1
secure,1
willingness,1
law expires,1
inception,1
458 million this year to 788 million,1
207 billion,1
commence,1
annually,1
year or 100 million,1
1983,2
monumental,1
education funding,2
rich,1
soil,1
abundant,1
blessed,2
nutrient,1
strategy,1
sources,1
steeper,1
2009,1
water quality efforts,1
people we,1
5,1
water resources,1
2016,1
signs,1
upcoming,1
unions,1
present,3
unique,1
2020,2
iowa goal,2
beyond,2
2029,1
year 2025,1
align,1
months,1
tackle,1
3rd,1
eastern,1
apprenticeship,1
prosperous,1
leveraged,1
avian influenza,1
owner,1
operator,1
restaurant,1
michelle,1
commodity prices,1
increasingly,3
214000,1
47,1
talent,3
generous,1
cash,1
norwalk,1
co chairs,1
council recommendation inspired,1
move students,1
science course,2
2018-19,1
exploratory unit,1
effective,1
career guidance,1
k-12 system,1
counselors,1
school leaders,1
career information,1
items,2
curriculum,1
partnerships,1
non profit communities,1
industries,2
chemicals,2
neutral,1
energies,1
biodiesel,1
signed it,1
coal,1
electricity,2
motor fuel,1
consume,1
gasoline,1
technologies,2
cellulosic,1
plants,1
emmetsburg,1
nevada,1
generation,1
thin,1
solar,1
power generation,1
madam speaker,2
attractive,1
patient,2
clean,1
statewide effort—and,1
input,1
business community,1
variety,1
federal,2
energy capacities,1
coordination,1
wind power,1
extension,1
wind investments,1
green,1
powers job growth,1
wind turbine,1
income,1
esteemed colleague,1
greener,1
flag,1
emblazoned,1
motto,1
most other,1
panel,1
iowa summit,1
consume virtually,1
bi partisan,1
revenue growth,2
justice policy,1
tasked,1
policy recommendations,1
respected,1
advocacy,1
others,1
fundamental,2
fairness,1
fairer,1
aligns,1
tax dollars,1
spent,2
rehabilitation,1
incarceration,1
committed crimes,1
crimes,1
punished,1
penalties,1
punishment,1
race,1
branches,1
five years ago,1
defender,1
wrongful,1
convictions,1
innocent,2
crafted,1
prison population,1
recidivism,1
parole board,1
aisle,1
corrections system,1
cautious,1
eye,1
dramatically,2
phone fees,1
recommended,1
inmates,1
released,1
chief,1
optimism,2
evident,1
courts,1
jury selection,1
diversity,1
jury panels,1
trial,1
family members,1
human,1
combat,1
funding model,1
drug,1
recommendation,2
fits,1
circumstances,1
theft,1
drug possession,1
haunted,1
employed,2
apartment,1
neighbors,3
poor,2
roadblocks,1
career success,1
impacted iowans,1
lifelong,1
barrier,1
confidential,1
discretion,1
offenses,1
forge,1
exponential,1
society,1
courageous,1
smaller,5
bloomfield,4
smarter,4
comprehensive,4
1980s,3
ia,3
woodbine,3
thankful,3
driver,3
computer science,3
nationally,2
impressed,2
law enforcement,2
responders,2
12,2
previous,2
22 years,2
adjustments,2
organizations,2
spirit,2
year 2018,2
year 2019,2
mental,2
diversification,2
62,1
kemin industries,1
the necessary changes,1
the same sense,1
excitement,1
eagerness,1
bolsters,1
65,1
farm crisis,1
70,1
80,1
davis county,1
southeast iowa,1
struggled,1
uninsured bank,1
closed,1
losses,1
area families,1
90,1
area farmers,1
straddled,1
limited,1
crops,1
course,1
entrepreneurial,1
alongside,1
startups,1
aggressive,1
visited bloomfield,1
1973,1
street revitalization,1
hardware,1
m3 fabrication,1
integrated,1
community revitalization,1
preservation,1
community sustainability,1
1984,1
bank closure,1
visited woodbine,1
street program,1
manufacturer,1
innovator,1
balcony,1
tech,1
31 billion,1
employ,1
2,1
powerhouse,1
fuels,1
producers,1
legislator,1
ethanol production,1
biodiesel production,1
55 million,1
gallons,1
2025,1
percentage,1
electricity generated,1
non profits,1
utilities,1
2030,1
heritage,1
diversified,1
wind energy,1
fertilizer plants,1
newer,1
industries employ hundreds,1
optimistic,1
energy successes,1
reaffirms,1
energy leadership,1
2541,1
dynamics,1
admirable,1
6100,1
bleak,1
smart,1
body,1
december,1
revenues,1
headwind,1
sadness,1
proceed,1
caution,1
repeat,1
mistakes,1
prudence,1
proposed adjustments,1
translated,1
200000,1
furloughs,1
difficult,1
mutual,1
complete,1
iowa taxpayers association,1
taxpayer funding,1
abortions,1
danger,1
scope,1
manner,1
catholic,1
true statesman,1
grown dramatically,1
antiquated,1
collective,1
inefficient,1
adverse,1
contagious,1
county,1
school district,1
ipers,1
retirement we,1
personality,1
quality health,1
flexibility,1
wages,1
fully,1
expenditure,1
him,1
efficiency,1
blind,1
adherence,1
debt liability,1
boards,1
commissions,1
unnecessary,1
competition,1
the tough questions,1
status quo,1
employee wages,1
654 million,1
us—from,1
modest,1
788 million,1
k-12 education,1
635 million,1
series,1
equates,1
landmark,1
iowans we,1
legal,1
requirements,1
first 30 days,1
aisle—,1
human services,1
transformed,1
13,1
health system,1
waiver,1
charity,1
hospitals,1
modernized,1
medicaid program,1
health services,1
closer,1
health insurance,1
22,1
modernized medicaid program,1
old,1
medicaid system,1
coordinated team,1
stepped forward,1
provider,1
110 million,1
modernized medicaid efforts,1
35,1
the biggest challenge,1
fellow citizens,1
iowa alliance,1
co chaired,1
oct 31 2017,1
careers they,1
skilled workers they,1
bondurant farrar,1
premier,1
exploratory computer science,1
introduction,1
computers,1
align education,1
foster greater collaboration,1
iowans' safety,1
traffic deaths,1
315 in 2015 to 402 in 2016,1
traffic safety bureau,1
key stakeholders,1
recommendations worth,1
bicyclists,1
motorcyclists,1
pedestrians,1
passengers,1
handwritten,1
christine,1
38,1
riceville,1
gracie,1
ended,1
july 29 2015,1
someone,1
bike,1
ride,1
forgiven,1
chosen,1
tragically ended,1
responsibilities,1
iowa law enforcement community,1
cell phone,1
carriers,1
insurance industry,1
distracted,1
impaired drivers,1
water quality improvement,1
front,1
39,1
appropriations committees,1
habitat,1
community conservation practices,1
improvements,1
wastewater,1
water facilities,1
discussions,1
perfect,1
water quality improvements,1
move forward,1
lady,1
welcomed iowans,1
terrace hill,1
volunteered,1
friendships we,1
friendships,1
cherish,1
grateful,1
prayers,1
ways we,1
confirmation,1
